TOTAL_STIMULUS_REC: 427
NLP_parse_percentage_in_AF: 0
Logged_at: 17:00:00:000
Atom(uuid), Atom(name), EnteredAt, LastSeenAt, STI, DurationInAF, IsNLPParseOutput, DirectSTI, GainFromSpreading
47153927320151812, nigh%4:02:01::, 14:35:15:521, 14:35:44:767, 2.01365, 29.246, 1,  - , 15.1342
129572895285309251, can, 14:35:16:908, 14:35:47:605, 8.86652, 30.6977, 1, 3000, 1.73695
145382079052396118, the@5434343f-dd3c-43be-9eba-5151c7761741, 14:35:31:118, 14:35:31:416, 3.55523, 0.298216, 0,  - , 3.46836
224914245004177916, ., 14:35:15:415, 14:35:47:605, 9.91247, 32.1899, 0, 48500, 34.9553
238713097465677210, in, 14:35:15:983, 14:35:47:605, 6.74701, 31.6219, 1, 12000, 9.59026
247278477959661152, woodlouse, 14:35:15:415, 14:35:47:605, 19.9977, 32.1899, 1, 1000, 8.7916
273156185407028256, no%4:02:01::, 14:35:28:565, 14:35:45:382, 0.531409, 16.8172, 1,  - , 11.1748
279039907390475960, aldrin, 14:35:32:158, 14:35:32:158, 2.95819, 0, 1,  - , 3.47567
383366309441692753, inward%4:02:01::, 14:35:28:201, 14:35:42:414, 0.681915, 14.2132, 1,  - , 15.208
443514927522192133, unlike, 14:35:15:983, 14:35:47:605, 6.26114, 31.6219, 1, 500, 5.0048
454213604292819815, do%2:36:02::, 14:35:15:521, 14:35:16:211, 2.63638, 0.689732, 1,  - , 5.57426
475730949696337361, them@ca9ec422-389b-4a45-afdf-8ac89926f176, 14:35:27:575, 14:35:36:073, 2.54735, 8.49868, 0,  - , 16.321
533049664271630316, similar, 14:35:16:908, 14:35:16:908, 1.55479, 0, 1, 1500, 0.000394129
560437915148262375, most%4:02:00::, 14:35:15:521, 14:35:47:605, 15.3543, 32.0845, 1,  - , 35.8086
643335844547241829, act%2:29:00::, 14:35:15:521, 14:35:16:211, 2.59597, 0.689727, 1,  - , 6.07404
