at_time(sec), nonNLP_percentage, insect_percentage, poison_percentage, insecticide_percentage
0, 0.192, 0.808, 0, 0
0.105348, 0.316, 0.684, 0, 0
0.229646, 0.464, 0.536, 0, 0
0.340359, 0.464, 0.536, 0, 0
0.449962, 0.464, 0.536, 0, 0
0.567927, 0.53, 0.47, 0, 0
0.683294, 0.68, 0.32, 0, 0
0.795053, 0.672, 0.328, 0, 0
0.910933, 0.666, 0.334, 0, 0
1.02802, 0.664, 0.336, 0, 0
1.14429, 0.632, 0.368, 0, 0
1.26034, 0.632, 0.368, 0, 0
1.37497, 0.63, 0.37, 0, 0
1.49219, 0.644, 0.356, 0, 0
1.62018, 0.6, 0.4, 0, 0.078
1.73482, 0.574, 0.426, 0, 0.078
1.79124, 0.568, 0.432, 0, 0.078
1.90464, 0.568, 0.432, 0, 0.078
2.02235, 0.564, 0.436, 0, 0.078
2.14125, 0.564, 0.436, 0, 0.078
2.2548, 0.564, 0.436, 0, 0.078
2.37219, 0.542, 0.458, 0, 0.078
2.492, 0.544, 0.456, 0, 0.078
2.61141, 0.544, 0.456, 0, 0.078
2.73015, 0.538, 0.462, 0, 0.078
2.84573, 0.522, 0.478, 0, 0.078
2.87979, 0.52, 0.48, 0, 0.078
2.99409, 0.512, 0.488, 0, 0.078
3.11382, 0.512, 0.488, 0, 0.078
3.23743, 0.494, 0.506, 0, 0.078
3.35086, 0.49, 0.51, 0, 0.078
3.46944, 0.48, 0.52, 0, 0.078
3.5916, 0.466, 0.534, 0, 0.078
3.7161, 0.468, 0.532, 0, 0.078
3.83538, 0.464, 0.536, 0, 0.078
3.96515, 0.464, 0.536, 0, 0.078
4.08488, 0.466, 0.534, 0, 0.078
4.12199, 0.466, 0.534, 0, 0.078
4.25192, 0.456, 0.544, 0, 0.078
4.37485, 0.452, 0.548, 0, 0.078
4.50791, 0.444, 0.556, 0, 0.078
4.6413, 0.444, 0.556, 0, 0.078
4.76348, 0.444, 0.556, 0, 0.078
4.87968, 0.442, 0.558, 0, 0.078
5.00834, 0.442, 0.558, 0, 0.078
5.14657, 0.442, 0.558, 0, 0.078
5.27008, 0.442, 0.558, 0, 0.078
5.39757, 0.442, 0.558, 0, 0.078
5.52271, 0.436, 0.564, 0, 0.078
5.64575, 0.436, 0.564, 0, 0.078
5.77007, 0.436, 0.564, 0, 0.078
5.89374, 0.426, 0.574, 0, 0.078
6.03312, 0.396, 0.604, 0, 0.078
6.15855, 0.398, 0.602, 0, 0.078
6.28297, 0.398, 0.602, 0, 0.078
6.42631, 0.398, 0.602, 0, 0.078
6.56909, 0.398, 0.602, 0, 0.078
6.69857, 0.398, 0.602, 0, 0.078
6.81729, 0.398, 0.602, 0, 0.078
6.94777, 0.398, 0.602, 0, 0.078
7.08261, 0.398, 0.602, 0, 0.078
7.23087, 0.398, 0.602, 0, 0.078
7.36819, 0.398, 0.602, 0, 0.078
7.5194, 0.398, 0.602, 0, 0.078
7.64902, 0.396, 0.604, 0, 0.078
7.79142, 0.414, 0.586, 0, 0.078
7.9366, 0.414, 0.586, 0, 0.078
8.07151, 0.414, 0.586, 0, 0.078
8.22901, 0.414, 0.586, 0, 0.078
8.30947, 0.414, 0.586, 0, 0.078
8.47644, 0.414, 0.586, 0, 0.078
8.60614, 0.414, 0.586, 0, 0.078
8.76283, 0.414, 0.586, 0, 0.078
8.89592, 0.414, 0.586, 0, 0.078
9.02105, 0.414, 0.586, 0, 0.078
9.15658, 0.414, 0.586, 0, 0.078
9.29288, 0.414, 0.586, 0, 0.078
9.44549, 0.414, 0.586, 0, 0.078
9.57892, 0.414, 0.586, 0, 0.078
9.72586, 0.414, 0.586, 0, 0.078
9.85252, 0.414, 0.586, 0, 0.078
10.0111, 0.414, 0.586, 0, 0.078
10.1802, 0.414, 0.586, 0, 0.078
10.342, 0.414, 0.586, 0, 0.078
10.4691, 0.414, 0.586, 0, 0.078
10.624, 0.414, 0.586, 0, 0.078
10.7555, 0.414, 0.586, 0, 0.078
10.8916, 0.414, 0.586, 0, 0.078
11.0701, 0.414, 0.586, 0, 0.078
11.2348, 0.414, 0.586, 0, 0.078
11.3728, 0.414, 0.586, 0, 0.078
11.524, 0.414, 0.586, 0, 0.078
11.6541, 0.414, 0.586, 0, 0.078
11.801, 0.414, 0.586, 0, 0.078
11.9581, 0.414, 0.586, 0, 0.078
12.1592, 0.414, 0.586, 0, 0.078
12.3333, 0.412, 0.588, 0, 0.078
12.4904, 0.416, 0.584, 0, 0.078
12.6339, 0.418, 0.582, 0, 0.078
12.7851, 0.43, 0.57, 0, 0.078
12.9754, 0.428, 0.572, 0, 0.078
13.1496, 0.432, 0.568, 0, 0.078
13.3211, 0.432, 0.568, 0, 0.078
13.4822, 0.432, 0.568, 0, 0.078
13.5888, 0.432, 0.568, 0, 0.078
13.7369, 0.432, 0.568, 0, 0.078
13.9402, 0.432, 0.568, 0, 0.078
14.0901, 0.434, 0.566, 0, 0.078
14.2551, 0.428, 0.572, 0, 0.078
14.4052, 0.428, 0.572, 0, 0.078
14.5742, 0.428, 0.572, 0, 0.078
14.7006, 0.45, 0.55, 0, 0.078
14.8574, 0.462, 0.538, 0, 0.078
15.0852, 0.468, 0.532, 0, 0.078
15.3208, 0.474, 0.526, 0, 0.078
15.4681, 0.458, 0.542, 0, 0.012
15.7021, 0.464, 0.536, 0, 0
15.8571, 0.472, 0.528, 0, 0.006
16.0002, 0.452, 0.548, 0, 0.002
16.2086, 0.436, 0.564, 0, 0
16.3701, 0.442, 0.558, 0, 0
16.5184, 0.436, 0.564, 0, 0
16.7427, 0.432, 0.568, 0, 0.018
16.9575, 0.424, 0.576, 0, 0
17.19, 0.426, 0.574, 0, 0
17.3475, 0.414, 0.586, 0, 0
17.5234, 0.416, 0.584, 0, 0
17.7595, 0.416, 0.584, 0, 0
17.9115, 0.42, 0.58, 0, 0
18.0576, 0.422, 0.578, 0, 0
18.2565, 0.422, 0.578, 0, 0
18.4312, 0.414, 0.586, 0, 0
18.5867, 0.416, 0.584, 0, 0
18.7537, 0.416, 0.584, 0, 0
18.8998, 0.416, 0.584, 0, 0
19.0533, 0.406, 0.594, 0, 0
19.2661, 0.39, 0.61, 0, 0
19.5222, 0.39, 0.61, 0, 0
19.7235, 0.39, 0.61, 0, 0
19.9664, 0.384, 0.616, 0, 0
20.2221, 0.376, 0.624, 0, 0
20.4514, 0.376, 0.624, 0, 0
20.6579, 0.376, 0.624, 0, 0
20.8402, 0.372, 0.628, 0, 0.002
21.0686, 0.366, 0.634, 0, 0
21.277, 0.366, 0.634, 0, 0
21.4421, 0.366, 0.634, 0, 0
21.6202, 0.366, 0.634, 0, 0
21.8544, 0.368, 0.632, 0, 0
22.0255, 0.362, 0.638, 0, 0
22.2125, 0.364, 0.636, 0, 0
22.3794, 0.362, 0.638, 0, 0
22.5334, 0.362, 0.638, 0, 0
22.7639, 0.364, 0.636, 0, 0
22.9567, 0.362, 0.638, 0, 0
23.1268, 0.366, 0.634, 0, 0
23.2995, 0.372, 0.628, 0, 0
23.4876, 0.37, 0.63, 0, 0
23.6913, 0.37, 0.63, 0, 0
23.8813, 0.37, 0.63, 0, 0
24.0596, 0.37, 0.63, 0, 0
24.3113, 0.37, 0.63, 0, 0
24.5662, 0.37, 0.63, 0, 0
24.8491, 0.37, 0.63, 0, 0
25.1111, 0.364, 0.636, 0, 0
25.3063, 0.358, 0.642, 0, 0
25.4797, 0.358, 0.642, 0, 0
25.7149, 0.358, 0.642, 0, 0
26.0249, 0.356, 0.644, 0, 0
26.227, 0.354, 0.646, 0, 0
26.4393, 0.354, 0.646, 0, 0
26.7281, 0.354, 0.646, 0, 0
26.9983, 0.35, 0.65, 0, 0
27.2306, 0.348, 0.652, 0, 0
27.4776, 0.348, 0.652, 0, 0
27.7327, 0.348, 0.652, 0, 0
27.9308, 0.346, 0.654, 0, 0
28.1198, 0.346, 0.654, 0, 0
28.2998, 0.346, 0.654, 0, 0
28.5448, 0.346, 0.654, 0, 0
28.8102, 0.346, 0.654, 0, 0
29.0598, 0.346, 0.654, 0, 0
29.3514, 0.344, 0.656, 0, 0
29.6444, 0.354, 0.646, 0, 0
29.9669, 0.372, 0.628, 0, 0
30.2928, 0.364, 0.636, 0, 0
30.6142, 0.364, 0.636, 0, 0
30.8198, 0.36, 0.64, 0, 0
31.1229, 0.356, 0.644, 0, 0
31.3973, 0.35, 0.65, 0, 0
31.6035, 0.346, 0.654, 0, 0
31.9341, 0.346, 0.654, 0, 0
32.1899, 0.346, 0.654, 0, 0
32.4412, 0.34, 0.66, 0, 0
32.8755, 1, 0.662, 0, 0
33.0732, 1, 0.662, 0, 0
33.286, 1, 0.662, 0, 0
33.5019, 1, 0.67, 0, 0
33.7236, 1, 0.666, 0, 0
33.9155, 1, 0.662, 0, 0
34.1351, 1, 0.662, 0, 0
34.2584, 1, 0.662, 0, 0
34.4753, 1, 0.664, 0, 0
34.691, 1, 0.662, 0, 0
34.9009, 1, 0.662, 0, 0
35.1228, 1, 0.662, 0, 0
35.3245, 1, 0.664, 0, 0
35.5496, 1, 0.676, 0, 0
35.7772, 1, 0.676, 0, 0
35.9769, 1, 0.68, 0, 0
36.1741, 1, 0.68, 0, 0
36.4035, 1, 0.674, 0, 0
36.5992, 1, 0.68, 0, 0
36.8191, 1, 0.686, 0, 0
37.04, 1, 0.684, 0, 0
37.2696, 1, 0.684, 0, 0
37.4738, 1, 0.682, 0, 0
37.7043, 1, 0.692, 0, 0
37.9197, 1, 0.696, 0, 0
38.1382, 1, 0.69, 0, 0
38.3608, 1, 0.69, 0, 0
38.5941, 1, 0.688, 0, 0
38.8263, 1, 0.69, 0, 0
39.0636, 1, 0.69, 0, 0
39.2997, 1, 0.688, 0, 0
39.5569, 1, 0.686, 0, 0
39.76, 1, 0.686, 0, 0
40.0189, 1, 0.686, 0, 0
40.2437, 1, 0.688, 0, 0
40.4854, 1, 0.686, 0, 0
40.7043, 1, 0.686, 0, 0
40.933, 1, 0.686, 0, 0
41.1776, 1, 0.686, 0, 0
41.4348, 1, 0.686, 0, 0
41.6465, 1, 0.69, 0, 0
41.8717, 1, 0.688, 0, 0
42.1085, 1, 0.69, 0, 0
42.3314, 1, 0.69, 0, 0
42.5733, 1, 0.688, 0, 0
42.8205, 1, 0.688, 0, 0
43.088, 1, 0.688, 0, 0
43.3691, 1, 0.69, 0, 0
43.65, 1, 0.69, 0, 0
43.8631, 1, 0.692, 0, 0
44.083, 1, 0.692, 0, 0
44.3171, 1, 0.69, 0, 0
44.5384, 1, 0.69, 0, 0
44.7733, 1, 0.69, 0, 0
45.0267, 1, 0.69, 0, 0
45.2601, 1, 0.692, 0, 0
45.4939, 1, 0.692, 0, 0
45.71, 1, 0.692, 0, 0
45.9941, 1, 0.692, 0, 0
46.2467, 1, 0.692, 0, 0
46.4728, 1, 0.692, 0, 0
46.7301, 1, 0.69, 0, 0
46.9607, 1, 0.69, 0, 0
47.1836, 1, 0.69, 0, 0
47.4379, 1, 0.69, 0, 0
47.6767, 1, 0.69, 0, 0
47.8986, 1, 0.69, 0, 0
48.1251, 1, 0.69, 0, 0
48.3697, 1, 0.68, 0, 0
48.6364, 1, 0.68, 0, 0
48.9258, 1, 0.68, 0, 0
49.1691, 1, 0.67, 0, 0
49.4207, 1, 0.672, 0, 0
49.7154, 1, 0.674, 0, 0
49.962, 1, 0.674, 0, 0
50.2066, 1, 0.676, 0, 0
50.456, 1, 0.674, 0, 0
50.7085, 1, 0.674, 0, 0
50.9827, 1, 0.674, 0, 0
51.2489, 1, 0.674, 0, 0
51.5231, 1, 0.674, 0, 0
51.7703, 1, 0.672, 0, 0
52.0287, 1, 0.672, 0, 0
52.3064, 1, 0.672, 0, 0
52.5624, 1, 0.672, 0, 0
52.84, 1, 0.672, 0, 0
53.0934, 1, 0.672, 0, 0
53.3297, 1, 0.672, 0, 0
53.5846, 1, 0.672, 0, 0
53.7824, 1, 0.672, 0, 0
54.0468, 1, 0.674, 0, 0
54.34, 1, 0.672, 0, 0
54.5896, 1, 0.672, 0, 0
54.8913, 1, 0.672, 0, 0
55.1976, 1, 0.672, 0, 0
55.5192, 1, 0.672, 0, 0
55.8, 1, 0.67, 0, 0
56.096, 1, 0.668, 0, 0
56.3469, 1, 0.668, 0, 0
56.6114, 1, 0.666, 0, 0
56.8735, 1, 0.666, 0, 0
57.1403, 1, 0.666, 0, 0
57.4656, 1, 0.67, 0, 0
57.8056, 1, 0.672, 0, 0
58.1426, 1, 0.668, 0, 0
58.4854, 1, 0.668, 0, 0
58.7672, 1, 0.67, 0, 0
59.028, 1, 0.668, 0, 0
59.3318, 1, 0.666, 0, 0
59.6124, 1, 0.666, 0, 0
59.9202, 1, 0.666, 0, 0
60.1579, 1, 0.668, 0, 0
60.4029, 1, 0.668, 0, 0
60.7169, 1, 0.668, 0, 0
60.9671, 1, 0.668, 0, 0
61.242, 1, 0.668, 0, 0
61.4864, 1, 0.668, 0, 0
61.7933, 1, 0.668, 0, 0
62.0514, 1, 0.668, 0, 0
62.2964, 1, 0.668, 0, 0
62.5658, 1, 0.666, 0, 0
62.8141, 1, 0.662, 0, 0
63.0745, 1, 0.664, 0, 0
63.3443, 1, 0.662, 0, 0
63.5991, 1, 0.662, 0, 0
63.8403, 1, 0.664, 0, 0
64.164, 1, 0.662, 0, 0
64.4825, 1, 0.662, 0, 0
64.744, 1, 0.662, 0, 0
65.0028, 1, 0.662, 0, 0
65.255, 1, 0.662, 0, 0
65.5403, 1, 0.658, 0, 0
65.849, 1, 0.658, 0, 0
66.1035, 1, 0.658, 0, 0
66.3498, 1, 0.658, 0, 0
66.6359, 1, 0.658, 0, 0
66.9091, 1, 0.656, 0, 0
67.2112, 1, 0.656, 0, 0
67.5099, 1, 0.654, 0, 0
67.7954, 1, 0.654, 0, 0
68.1187, 1, 0.656, 0, 0
68.3701, 1, 0.656, 0, 0
68.6282, 1, 0.656, 0, 0
68.9005, 1, 0.656, 0, 0
69.2319, 1, 0.648, 0, 0
69.4889, 1, 0.648, 0, 0
