TOTAL_STIMULUS_REC: 709
NLP_parse_percentage_in_AF: 0
Logged_at: 17:00:00:000
Prev_topic_percentage_in_af: 0
Current_topic_percentage_in_af: 1
Atom(uuid), Atom(name), EnteredAt, LastSeenAt, STI, DurationInAF, IsNLPParseOutput, DirectSTI, GainFromSpreading
47153927320151812, nigh%4:02:01::, 14:35:15:521, 14:36:14:747, 8.14825, 59.2264, 1,  - , 19.144
129572895285309251, can, 14:35:16:908, 14:36:14:747, 8.89608, 57.8396, 1, 4500, 2.074
145382079052396118, the@5434343f-dd3c-43be-9eba-5151c7761741, 14:35:31:118, 14:35:31:416, 3.5488, 0.298216, 0,  - , 4.13528
224914245004177916, ., 14:35:15:415, 14:36:14:747, 12.5701, 59.3319, 0, 73500, 40.8396
238713097465677210, in, 14:35:15:983, 14:36:14:747, 7.88545, 58.7639, 1, 24500, 17.8472
247278477959661152, woodlouse, 14:35:15:415, 14:36:14:747, 9.51298, 59.3319, 1, 1000, 10.1321
273156185407028256, no%4:02:01::, 14:35:28:565, 14:36:14:747, 8.33738, 46.1822, 1,  - , 11.678
279039907390475960, aldrin, 14:35:32:158, 14:35:32:158, 0.143068, 0, 1,  - , 3.47657
383366309441692753, inward%4:02:01::, 14:35:28:201, 14:35:42:414, 0.673748, 14.2132, 1,  - , 16.211
443514927522192133, unlike, 14:35:15:983, 14:36:14:747, 69.0118, 58.7639, 1, 500, 8.17845
454213604292819815, do%2:36:02::, 14:35:15:521, 14:35:16:211, 2.62814, 0.689732, 1,  - , 5.57513
475730949696337361, them@ca9ec422-389b-4a45-afdf-8ac89926f176, 14:35:27:575, 14:36:14:747, 13.4093, 47.1726, 0,  - , 20.1902
533049664271630316, similar, 14:35:16:908, 14:35:16:908, 1.5496, 0, 1, 1500, 0.00109631
560437915148262375, most%4:02:00::, 14:35:15:521, 14:36:14:747, 5.62816, 59.2264, 1,  - , 37.8158
643335844547241829, act%2:29:00::, 14:35:15:521, 14:35:16:211, 2.58594, 0.689727, 1,  - , 6.07493
672209744764972597, nevertheless%4:02:00::, 14:35:15:521, 14:35:51:193, 0.814535, 35.6718, 1,  - , 41.2495
675472484026836756, 10.000000, 14:35:18:146, 14:36:14:747, 9.05534, 56.6017, 1,  - , 2.40741
690693652329620029, species, 14:35:16:211, 14:35:40:265, 1.48249, 24.054, 1, 10500, 4.84187
758278191060126781, extensor_muscle%1:08:00::, 14:35:28:565, 14:35:45:382, 0.529973, 16.8172, 1,  - , 12.3977
821879334871727856, noun, 14:35:16:560, 14:36:14:747, 9.57598, 58.1875, 0,  - , 5.40989
865994518079828500, _quantity, 14:35:30:116, 14:35:50:740, 3.56064, 20.6238, 1,  - , 2.40442
882972761056795330, make%2:36:05::, 14:35:15:521, 14:35:16:211, 2.92146, 0.689727, 1,  - , 6.07487
955007819498838415, 3000, 14:35:16:211, 14:35:52:455, 0.114909, 36.2448, 0, 1000, 1.33859
1030432051235113537, in%4:02:01::, 14:35:28:201, 14:35:42:414, 0.668253, 14.2132, 1,  - , 16.711
1057495428784606851, plural, 14:35:18:146, 14:36:14:747, 5.18018, 56.6017, 0,  - , 4.40848
1066885914826733091, woodlice@e8ed7cf1-ca66-4402-98f6-1042b71c8587, 14:35:15:415, 14:36:14:747, 33.7456, 59.3319, 0,  - , 22.9654
1113997609004476165, near%4:02:03::, 14:35:15:521, 14:36:14:747, 11.2838, 59.2264, 1,  - , 51.3156
1153987369686549617, do%2:42:00::, 14:35:15:521, 14:35:16:211, 2.79202, 0.689727, 1,  - , 7.07479
1217402448328952847, no_more%4:02:05::, 14:35:28:565, 14:36:14:747, 7.53094, 46.1822, 1,  - , 11.6778
1230484456261868096, somewhat, 14:35:16:908, 14:35:16:908, 1.1322, 0, 1, 1000, 0.00226474
1274177074795690889, no%4:02:02::, 14:35:28:565, 14:36:14:747, 7.53171, 46.1822, 1,  - , 11.6778
1297336434150684834, present_future, 14:35:15:645, 14:36:14:747, 8.48247, 59.1022, 0,  - , 6.58066
1317221151177655545, ,@f9f260eb-5042-40dc-a3a7-4133017f556f, 14:35:38:542, 14:36:12:881, 0.742019, 34.3388, 0,  - , 8.86009
1331732374306529449, instead.e@355a1ac2-f5d7-4e9c-8d1b-0bdf0a6fc43c, 14:35:30:884, 14:35:49:891, 0.329666, 19.0072, 0,  - , 5.34069
1354872220123196599, doh%1:10:00::, 14:35:15:521, 14:35:18:766, 2.91251, 3.24553, 1,  - , 6.57509
1367477221623553515, by%4:02:00::, 14:35:28:049, 14:35:41:855, 2.33613, 13.8054, 1,  - , 17.8205
1384551694518126213, demonstrative, 14:35:18:261, 14:36:14:747, 8.157, 56.4861, 0,  - , 2.07407
1421903169222321968, WV@338793a6-124e-41d3-90a8-5e14495a458e, 14:35:16:444, 14:36:14:747, 11.3983, 58.3038, 0,  - , 4.89388
1449581650341107687, in%1:23:00::, 14:35:28:201, 14:35:42:414, 0.670992, 14.2132, 1,  - , 15.2111
1502891525357445923, away%4:02:02::, 14:35:28:049, 14:35:41:855, 2.35647, 13.8054, 1,  - , 17.8206
1517594385247747428, do%2:42:02::, 14:35:15:521, 14:35:16:211, 2.87006, 0.689727, 1,  - , 6.07441
1538698962689516020, ut%1:10:00::, 14:35:15:521, 14:35:16:211, 2.90216, 0.689727, 1,  - , 5.57485
1559143987269818818, do%2:36:00::, 14:35:15:521, 14:35:19:132, 2.93305, 3.61076, 1,  - , 6.5748
1570813373529498099, 9.000000, 14:35:18:261, 14:36:14:747, 6.68237, 56.4861, 0,  - , 2.74074
1657969190253781392, ,@b5d34e0d-bf36-43a9-9912-b422c916c2a2, 14:35:38:372, 14:36:12:881, 0.751729, 34.5088, 0,  - , 8.86009
