at_time(sec), nonNLP_percentage, insect_percentage, poison_percentage, insecticide_percentage
0, 0.156, 0.844, 0, 0
0.104935, 0.2, 0.8, 0, 0
0.2114, 0.314, 0.686, 0, 0
0.318248, 0.314, 0.686, 0, 0
0.425419, 0.322, 0.678, 0, 0
0.534742, 0.346, 0.654, 0, 0
0.647999, 0.566, 0.434, 0, 0
0.764126, 0.672, 0.328, 0, 0
0.880592, 0.666, 0.334, 0, 0
0.996052, 0.666, 0.334, 0, 0
1.11256, 0.666, 0.334, 0, 0
1.23011, 0.658, 0.342, 0, 0
1.34599, 0.654, 0.346, 0, 0
1.45774, 0.638, 0.362, 0, 0
1.57662, 0.558, 0.442, 0, 0
1.6942, 0.538, 0.462, 0, 0.078
1.72009, 0.532, 0.468, 0, 0.078
1.83784, 0.52, 0.48, 0, 0.078
1.95049, 0.512, 0.488, 0, 0.078
2.06089, 0.502, 0.498, 0, 0.078
2.17404, 0.486, 0.514, 0, 0.066
2.29156, 0.482, 0.518, 0, 0.048
2.38872, 0.482, 0.518, 0, 0.048
2.50827, 0.464, 0.536, 0, 0.038
2.62313, 0.456, 0.544, 0, 0.04
2.74082, 0.454, 0.546, 0, 0.052
2.85954, 0.454, 0.546, 0, 0.054
2.98236, 0.456, 0.544, 0, 0.056
3.10714, 0.448, 0.552, 0, 0.058
3.22538, 0.426, 0.574, 0, 0.054
3.34501, 0.412, 0.588, 0, 0.038
3.46348, 0.408, 0.592, 0, 0.032
3.58847, 0.408, 0.592, 0, 0.032
3.70177, 0.392, 0.608, 0, 0.016
3.81632, 0.392, 0.608, 0, 0.016
3.95276, 0.392, 0.608, 0, 0.016
4.07219, 0.392, 0.608, 0, 0.016
4.20886, 0.388, 0.612, 0, 0.01
4.32934, 0.388, 0.612, 0, 0.008
4.4594, 0.378, 0.622, 0, 0
4.58217, 0.378, 0.622, 0, 0
4.70071, 0.378, 0.622, 0, 0
4.83641, 0.38, 0.62, 0, 0
4.95889, 0.38, 0.62, 0, 0
5.09669, 0.374, 0.626, 0, 0
5.23302, 0.378, 0.622, 0, 0
5.353, 0.376, 0.624, 0, 0
5.48649, 0.378, 0.622, 0, 0
5.6348, 0.378, 0.622, 0, 0
5.78054, 0.378, 0.622, 0, 0
5.91836, 0.372, 0.628, 0, 0
6.05076, 0.368, 0.632, 0, 0
6.17737, 0.368, 0.632, 0, 0
6.31753, 0.368, 0.632, 0, 0
6.44411, 0.368, 0.632, 0, 0
6.58504, 0.368, 0.632, 0, 0
6.71636, 0.364, 0.636, 0, 0
6.84088, 0.372, 0.628, 0, 0
6.97011, 0.37, 0.63, 0, 0
7.0967, 0.368, 0.632, 0, 0
7.25112, 0.368, 0.632, 0, 0
7.33769, 0.368, 0.632, 0, 0
7.48699, 0.368, 0.632, 0, 0
7.64573, 0.368, 0.632, 0, 0
7.78095, 0.368, 0.632, 0, 0
7.92298, 0.368, 0.632, 0, 0
8.08818, 0.368, 0.632, 0, 0
8.25115, 0.368, 0.632, 0, 0
8.40106, 0.368, 0.632, 0, 0
8.52769, 0.368, 0.632, 0, 0
8.63834, 0.368, 0.632, 0, 0
8.78669, 0.368, 0.632, 0, 0
8.9292, 0.368, 0.632, 0, 0
9.07101, 0.368, 0.632, 0, 0
9.20455, 0.368, 0.632, 0, 0
9.34304, 0.368, 0.632, 0, 0
9.5267, 0.368, 0.632, 0, 0
9.6737, 0.368, 0.632, 0, 0
9.82743, 0.37, 0.63, 0, 0.002
9.96767, 0.358, 0.642, 0, 0
10.093, 0.364, 0.636, 0, 0
10.2281, 0.362, 0.638, 0, 0
10.4085, 0.37, 0.63, 0, 0
10.5523, 0.364, 0.636, 0, 0.002
10.694, 0.352, 0.648, 0, 0.006
10.8401, 0.338, 0.662, 0, 0.01
11.0114, 0.338, 0.662, 0, 0.02
11.1493, 0.316, 0.684, 0, 0.004
11.3232, 0.316, 0.684, 0, 0.004
11.4787, 0.312, 0.688, 0, 0.004
11.6159, 0.31, 0.69, 0, 0.004
11.799, 0.312, 0.688, 0, 0.004
11.996, 0.31, 0.69, 0, 0.002
12.1284, 0.308, 0.692, 0, 0.002
12.3109, 0.308, 0.692, 0, 0.002
12.5183, 0.308, 0.692, 0, 0.002
12.7128, 0.3, 0.7, 0, 0
12.8581, 0.294, 0.706, 0, 0
13.0031, 0.282, 0.718, 0, 0
13.0728, 0.28, 0.72, 0, 0
13.221, 0.28, 0.72, 0, 0
13.3669, 0.28, 0.72, 0, 0
13.5091, 0.28, 0.72, 0, 0
13.6956, 0.274, 0.726, 0, 0
13.8766, 0.274, 0.726, 0, 0
14.0269, 0.274, 0.726, 0, 0
14.1752, 0.276, 0.724, 0, 0.004
14.3648, 0.276, 0.724, 0, 0
14.5329, 0.276, 0.724, 0, 0
14.6923, 0.274, 0.726, 0, 0
14.8696, 0.274, 0.726, 0, 0
15.0549, 0.274, 0.726, 0, 0
15.2311, 0.274, 0.726, 0, 0
15.4011, 0.274, 0.726, 0, 0
15.6203, 0.274, 0.726, 0, 0
15.8125, 0.282, 0.718, 0, 0
15.9714, 0.282, 0.718, 0, 0
16.1923, 0.28, 0.72, 0, 0
16.3689, 0.28, 0.72, 0, 0
16.588, 0.292, 0.708, 0, 0.002
16.7569, 0.292, 0.708, 0, 0
16.9433, 0.292, 0.708, 0, 0
17.131, 0.292, 0.708, 0, 0
17.2916, 0.292, 0.708, 0, 0
17.5357, 0.292, 0.708, 0, 0
17.6946, 0.292, 0.708, 0, 0
17.8607, 0.292, 0.708, 0, 0
18.048, 0.292, 0.708, 0, 0
18.2643, 0.292, 0.708, 0, 0
18.4298, 0.292, 0.708, 0, 0
18.5322, 0.292, 0.708, 0, 0
18.7023, 0.294, 0.706, 0, 0
18.9132, 0.298, 0.702, 0, 0
19.0983, 0.298, 0.702, 0, 0
19.3148, 0.298, 0.702, 0, 0
