TOTAL_STIMULUS_REC: 427
NLP_parse_percentage_in_AF: 0
Logged_at: 17:00:00:000
Atom(uuid), Atom(name), EnteredAt, LastSeenAt, STI, DurationInAF, IsNLPParseOutput, DirectSTI, GainFromSpreading
47153927320151812, nigh%4:02:01::, 14:30:55:403, 14:31:15:510, 1.96569, 20.1063, 1,  - , 36.9781
129572895285309251, can, 14:30:56:756, 14:31:21:092, 4.08228, 24.3354, 1, 1800, 1.79388
200990043864875999, ,@eced141b-831c-49ec-bf8d-6c028f92dfde, 14:31:11:111, 14:31:27:512, 8.43727, 16.4014, 0,  - , 5.56123
221700392017232002, ,@74b038cb-7228-4128-affd-e9b8b07b0d26, 14:31:11:111, 14:31:27:512, 8.43727, 16.4014, 0,  - , 5.56114
224914245004177916, ., 14:30:55:298, 14:31:27:512, 16.2539, 32.2139, 0, 29100, 76.3019
238713097465677210, in, 14:30:55:724, 14:31:27:512, 8.04271, 31.7884, 1, 7200, 21.7638
247278477959661152, woodlouse, 14:30:55:403, 14:31:27:512, 5.75789, 32.1089, 1, 600, 10.1812
273156185407028256, no%4:02:01::, 14:31:00:652, 14:31:27:512, 15.0297, 26.8608, 1,  - , 14.8954
308265414077836561, of@63df59c9-5714-4abb-8f4c-bb74546d2102, 14:31:01:217, 14:31:27:512, 6.85085, 26.2955, 0,  - , 10.9688
349609522505327407, bigger.a-c@3e68c1a2-a172-4233-820f-46c4aeacc9ba, 14:31:05:851, 14:31:17:822, 1.16567, 11.9712, 0,  - , 3.78091
383366309441692753, inward%4:02:01::, 14:31:02:139, 14:31:15:339, 3.81999, 13.1999, 1,  - , 9.14249
384797615427064134, ), 14:30:56:756, 14:31:05:527, 3.51332, 8.77027, 0, 900, 1.00464
443514927522192133, unlike, 14:30:55:833, 14:31:27:512, 34.6636, 31.6791, 1, 300, 8.01378
454213604292819815, do%2:36:02::, 14:30:55:510, 14:30:57:922, 1.33617, 2.41175, 1,  - , 4.28166
533049664271630316, similar, 14:30:56:756, 14:31:05:707, 1.46981, 8.95073, 1, 900, 0.254727
549817980321782562, comprise, 14:30:57:136, 14:31:01:884, 0.706726, 4.74722, 1, 300, 0.00339609
560437915148262375, most%4:02:00::, 14:30:55:403, 14:31:27:512, 7.33278, 32.1089, 1,  - , 21.978
643335844547241829, act%2:29:00::, 14:30:55:510, 14:30:56:756, 1.32955, 1.2464, 1,  - , 5.28202
672209744764972597, nevertheless%4:02:00::, 14:30:55:510, 14:31:06:139, 2.48296, 10.6287, 1,  - , 29.1999
675472484026836756, 10.000000, 14:30:57:473, 14:31:27:512, 8.74259, 30.0398, 1,  - , 2.79096
690693652329620029, species, 14:30:55:946, 14:31:27:512, 10.2801, 31.5659, 1, 6300, 7.67983
758278191060126781, extensor_muscle%1:08:00::, 14:31:00:135, 14:31:27:512, 10.6028, 27.3775, 1,  - , 24.9284
780089189977460852, cockroaches.n@a46f6308-8486-4bc4-86e0-f199278e03b9, 14:31:00:785, 14:31:27:512, 8.11546, 26.7274, 0,  - , 3.53344
821879334871727856, noun, 14:30:57:473, 14:31:27:512, 5.53013, 30.0398, 0,  - , 7.79403
830180766859412034, Xp@3c67783b-727d-4d44-aaf8-6caf65197437, 14:30:57:807, 14:31:27:512, 5.21655, 29.7056, 0,  - , 4.37317
