at_time(sec), nonNLP_percentage, insect_percentage, poison_percentage, insecticide_percentage
0, 0.271955, 0.728045, 0, 0
0.112417, 0.214, 0.786, 0, 0
0.217256, 0.226, 0.774, 0, 0
0.322156, 0.234, 0.766, 0, 0
0.431065, 0.372, 0.628, 0, 0
0.541778, 0.478, 0.522, 0, 0
0.661391, 0.642, 0.358, 0, 0
0.774899, 0.654, 0.346, 0, 0
0.888547, 0.666, 0.334, 0, 0
0.998917, 0.616, 0.384, 0, 0.078
1.11281, 0.608, 0.392, 0, 0.078
1.2285, 0.59, 0.41, 0, 0.078
1.34406, 0.586, 0.414, 0, 0.078
1.44245, 0.584, 0.416, 0, 0.078
1.55602, 0.57, 0.43, 0, 0.078
1.67187, 0.57, 0.43, 0, 0.078
1.78698, 0.568, 0.432, 0, 0.078
1.89835, 0.566, 0.434, 0, 0.078
2.01867, 0.566, 0.434, 0, 0.078
2.13125, 0.566, 0.434, 0, 0.078
2.23179, 0.566, 0.434, 0, 0.078
2.35275, 0.566, 0.434, 0, 0.078
2.47057, 0.566, 0.434, 0, 0.078
2.58832, 0.566, 0.434, 0, 0.078
2.70627, 0.566, 0.434, 0, 0.078
2.82671, 0.566, 0.434, 0, 0.078
2.94365, 0.566, 0.434, 0, 0.078
3.06543, 0.566, 0.434, 0, 0.078
3.13446, 0.566, 0.434, 0, 0.078
3.25073, 0.566, 0.434, 0, 0.078
3.36777, 0.566, 0.434, 0, 0.078
3.49852, 0.566, 0.434, 0, 0.078
3.62193, 0.566, 0.434, 0, 0.078
3.746, 0.566, 0.434, 0, 0.078
3.81458, 0.566, 0.434, 0, 0.078
3.93845, 0.566, 0.434, 0, 0.078
4.07517, 0.566, 0.434, 0, 0.078
4.20071, 0.566, 0.434, 0, 0.078
4.31881, 0.566, 0.434, 0, 0.078
4.44187, 0.542, 0.458, 0, 0.078
4.56877, 0.482, 0.518, 0, 0.078
4.69413, 0.462, 0.538, 0, 0.078
4.8189, 0.44, 0.56, 0, 0.058
4.94426, 0.44, 0.56, 0, 0.058
5.07399, 0.412, 0.588, 0, 0.018
5.19492, 0.41, 0.59, 0, 0.018
5.33715, 0.41, 0.59, 0, 0.018
5.47052, 0.408, 0.592, 0, 0.016
5.60279, 0.408, 0.592, 0, 0.016
5.73342, 0.398, 0.602, 0, 0
5.86171, 0.396, 0.604, 0, 0
5.99079, 0.394, 0.606, 0, 0
6.15656, 0.398, 0.602, 0, 0
6.29366, 0.398, 0.602, 0, 0
6.43649, 0.398, 0.602, 0, 0
6.58409, 0.398, 0.602, 0, 0
6.7213, 0.398, 0.602, 0, 0
6.85413, 0.402, 0.598, 0, 0
6.98887, 0.42, 0.58, 0, 0.024
7.12407, 0.42, 0.58, 0, 0
7.25807, 0.426, 0.574, 0, 0.004
7.42039, 0.426, 0.574, 0, 0.004
7.54044, 0.426, 0.574, 0, 0.002
7.67436, 0.426, 0.574, 0, 0.002
7.84364, 0.428, 0.572, 0, 0.004
7.95423, 0.428, 0.572, 0, 0
8.08171, 0.426, 0.574, 0, 0
8.22263, 0.426, 0.574, 0, 0
8.38359, 0.424, 0.576, 0, 0
8.5426, 0.42, 0.58, 0, 0.006
8.6805, 0.418, 0.582, 0, 0.014
8.84895, 0.42, 0.58, 0, 0.02
8.98266, 0.416, 0.584, 0, 0.012
9.05071, 0.416, 0.584, 0, 0.012
9.18207, 0.414, 0.586, 0, 0.014
9.35646, 0.414, 0.586, 0, 0.012
9.48732, 0.414, 0.586, 0, 0.014
9.64884, 0.414, 0.586, 0, 0.014
9.8168, 0.414, 0.586, 0, 0.016
9.95993, 0.414, 0.586, 0, 0.018
10.0883, 0.414, 0.586, 0, 0.018
10.245, 0.414, 0.586, 0, 0.018
10.38, 0.412, 0.588, 0, 0.016
10.5451, 0.398, 0.602, 0, 0.022
10.6726, 0.392, 0.608, 0, 0.07
10.8518, 0.386, 0.614, 0, 0.066
11.048, 0.376, 0.624, 0, 0.066
11.2088, 0.334, 0.666, 0, 0.032
11.4121, 0.32, 0.68, 0, 0
11.5498, 0.302, 0.698, 0, 0
11.6985, 0.312, 0.688, 0, 0
11.853, 0.314, 0.686, 0, 0
12.0072, 0.33, 0.67, 0, 0
12.1852, 0.318, 0.682, 0, 0
12.2744, 0.312, 0.688, 0, 0
12.4302, 0.308, 0.692, 0, 0
12.5924, 0.322, 0.678, 0, 0
12.7354, 0.326, 0.674, 0, 0
12.8958, 0.314, 0.686, 0, 0
13.0742, 0.312, 0.688, 0, 0
13.2559, 0.304, 0.696, 0, 0
13.4151, 0.3, 0.7, 0, 0
13.599, 0.3, 0.7, 0, 0
13.7769, 0.29, 0.71, 0, 0
13.9591, 0.29, 0.71, 0, 0
14.0979, 0.29, 0.71, 0, 0
14.2936, 0.29, 0.71, 0, 0
14.4448, 0.29, 0.71, 0, 0
14.615, 0.29, 0.71, 0, 0
14.8354, 0.29, 0.71, 0, 0
15.0101, 0.3, 0.7, 0, 0
15.2322, 0.3, 0.7, 0, 0
15.387, 0.3, 0.7, 0, 0
15.6194, 0.302, 0.698, 0, 0
15.8468, 0.3, 0.7, 0, 0
16.0987, 0.304, 0.696, 0, 0
16.307, 0.304, 0.696, 0, 0
16.4987, 0.304, 0.696, 0, 0
16.718, 0.308, 0.692, 0, 0
16.9593, 0.304, 0.696, 0, 0
17.2252, 0.306, 0.694, 0, 0
17.4208, 0.306, 0.694, 0, 0
17.6155, 0.31, 0.69, 0, 0
17.8875, 0.31, 0.69, 0, 0
17.9727, 0.31, 0.69, 0, 0
18.1365, 0.308, 0.692, 0, 0
18.305, 0.308, 0.692, 0, 0
18.5339, 0.31, 0.69, 0, 0
18.7409, 0.31, 0.69, 0, 0
18.9661, 0.308, 0.692, 0, 0
19.129, 0.308, 0.692, 0, 0
19.2521, 0.308, 0.692, 0, 0
19.5264, 0.308, 0.692, 0, 0
19.7919, 0.308, 0.692, 0, 0
19.9995, 0.31, 0.69, 0, 0
20.147, 0.328, 0.672, 0, 0
20.3014, 0.316, 0.684, 0, 0
20.5663, 0.316, 0.684, 0, 0
20.728, 0.316, 0.684, 0, 0
20.8834, 0.316, 0.684, 0, 0
21.0974, 0.316, 0.684, 0, 0
21.2684, 0.316, 0.684, 0, 0
21.5152, 0.32, 0.68, 0, 0
21.7404, 0.32, 0.68, 0, 0
21.8824, 0.324, 0.676, 0, 0
22.0696, 0.324, 0.676, 0, 0
22.3803, 0.324, 0.676, 0, 0
22.5605, 0.314, 0.686, 0, 0
22.7341, 0.308, 0.692, 0, 0
22.9541, 0.322, 0.678, 0, 0
23.1977, 0.316, 0.684, 0, 0
23.5158, 0.308, 0.692, 0, 0
23.8162, 0.308, 0.692, 0, 0
24.0552, 0.308, 0.692, 0, 0
24.2829, 0.308, 0.692, 0, 0
24.5079, 0.312, 0.688, 0, 0
24.7292, 0.302, 0.698, 0, 0
25.0545, 0.3, 0.7, 0, 0
25.2958, 0.302, 0.698, 0, 0
25.4878, 0.278, 0.722, 0, 0
25.6935, 0.278, 0.722, 0, 0
25.8728, 0.278, 0.722, 0, 0
26.1469, 0.278, 0.722, 0, 0
26.3837, 0.278, 0.722, 0, 0
26.6523, 0.278, 0.722, 0, 0
26.8975, 0.278, 0.722, 0, 0
27.0858, 0.278, 0.722, 0, 0
27.3356, 0.278, 0.722, 0, 0
27.4876, 0.278, 0.722, 0, 0
27.7654, 0.278, 0.722, 0, 0
27.9551, 0.278, 0.722, 0, 0
28.2245, 0.278, 0.722, 0, 0
28.4719, 0.276, 0.724, 0, 0
28.7915, 0.276, 0.724, 0, 0
29.0317, 0.276, 0.724, 0, 0
29.3783, 0.272, 0.728, 0, 0
29.6542, 0.272, 0.728, 0, 0
29.9663, 0.272, 0.728, 0, 0
30.1909, 0.272, 0.728, 0, 0
30.5159, 0.27, 0.73, 0, 0
30.785, 0.27, 0.73, 0, 0
31.0717, 0.27, 0.73, 0, 0
31.386, 0.272, 0.728, 0, 0
31.6293, 0.266, 0.734, 0, 0
32.0048, 1, 0.736, 0, 0
32.2283, 1, 0.736, 0, 0
32.4341, 1, 0.736, 0, 0
32.6439, 1, 0.736, 0, 0
32.8666, 1, 0.736, 0, 0
33.0859, 1, 0.736, 0, 0
33.2832, 1, 0.734, 0, 0
33.4356, 1, 0.738, 0, 0
33.6596, 1, 0.74, 0, 0
33.877, 1, 0.74, 0, 0
34.0795, 1, 0.734, 0, 0
34.2918, 1, 0.73, 0, 0
34.4977, 1, 0.736, 0, 0
34.723, 1, 0.738, 0, 0
34.9465, 1, 0.742, 0, 0
35.1717, 1, 0.742, 0, 0
35.3667, 1, 0.742, 0, 0
35.5913, 1, 0.742, 0, 0
35.7859, 1, 0.744, 0, 0
35.9805, 1, 0.744, 0, 0
36.1902, 1, 0.744, 0, 0
