at_time(sec), nonNLP_percentage, insect_percentage, poison_percentage, insecticide_percentage
0, 0.130435, 0.869565, 0, 0
0.112219, 0.241535, 0.758465, 0, 0
0.218286, 0.314, 0.686, 0, 0
0.326228, 0.314, 0.686, 0, 0
0.43254, 0.314, 0.686, 0, 0
0.539025, 0.346, 0.654, 0, 0
0.646531, 0.374, 0.626, 0, 0
0.756508, 0.538, 0.462, 0, 0
0.871971, 0.678, 0.322, 0, 0
0.992515, 0.672, 0.328, 0, 0
1.10986, 0.672, 0.328, 0, 0
1.22795, 0.672, 0.328, 0, 0
1.34155, 0.638, 0.362, 0, 0
1.45533, 0.632, 0.368, 0, 0
1.57195, 0.56, 0.44, 0, 0.016
1.69572, 0.594, 0.406, 0, 0.078
1.81022, 0.528, 0.472, 0, 0.078
1.86792, 0.53, 0.47, 0, 0.078
1.9802, 0.528, 0.472, 0, 0.078
2.10019, 0.528, 0.472, 0, 0.078
2.21941, 0.53, 0.47, 0, 0.078
2.33815, 0.55, 0.45, 0, 0.078
2.45574, 0.548, 0.452, 0, 0.078
2.57237, 0.548, 0.452, 0, 0.078
2.69363, 0.552, 0.448, 0, 0.078
2.81179, 0.552, 0.448, 0, 0.078
2.92975, 0.564, 0.436, 0, 0.078
3.0249, 0.582, 0.418, 0, 0.078
3.14294, 0.582, 0.418, 0, 0.078
3.26273, 0.61, 0.39, 0, 0.078
3.40199, 0.634, 0.366, 0, 0.078
3.52968, 0.648, 0.352, 0, 0.078
3.65159, 0.656, 0.344, 0, 0.078
3.7758, 0.656, 0.344, 0, 0.078
3.904, 0.656, 0.344, 0, 0.078
4.03139, 0.656, 0.344, 0, 0.078
4.15743, 0.656, 0.344, 0, 0.078
4.28043, 0.656, 0.344, 0, 0.078
4.35113, 0.658, 0.342, 0, 0.078
4.47792, 0.64, 0.36, 0, 0.078
4.60631, 0.64, 0.36, 0, 0.078
4.7333, 0.638, 0.362, 0, 0.078
4.85251, 0.614, 0.386, 0, 0.078
4.9762, 0.586, 0.414, 0, 0.078
5.10234, 0.578, 0.422, 0, 0.078
5.23361, 0.566, 0.434, 0, 0.078
5.3508, 0.56, 0.44, 0, 0.078
5.47834, 0.532, 0.468, 0, 0.078
5.60003, 0.502, 0.498, 0, 0.074
5.71816, 0.454, 0.546, 0, 0.01
5.84453, 0.408, 0.592, 0, 0
5.96893, 0.358, 0.642, 0, 0
6.0924, 0.35, 0.65, 0, 0
6.20842, 0.334, 0.666, 0, 0
6.32888, 0.324, 0.676, 0, 0
6.4895, 0.32, 0.68, 0, 0
6.63718, 0.32, 0.68, 0, 0
6.75903, 0.326, 0.674, 0, 0
