TOTAL_STIMULUS_REC: 709
NLP_parse_percentage_in_AF: 1.4013e-45
Logged_at: 17:00:00:000
Prev_topic_percentage_in_af: 0
Current_topic_percentage_in_af: 0
Atom(uuid), Atom(name), EnteredAt, LastSeenAt, STI, DurationInAF, IsNLPParseOutput, DirectSTI, GainFromSpreading
4654110401115762, pollen, 14:39:42:469, 14:40:39:835, 8.82248, 57.3663, 1, 150, 2.51496
47153927320151812, nigh%4:02:01::, 14:39:39:823, 14:40:22:668, 0.231552, 42.8447, 1,  - , 11.3457
91020781493705917, from@55060cfd-9b6f-4436-82e7-3798218825f6, 14:40:00:660, 14:40:34:463, 0.873359, 33.803, 0,  - , 6.56376
129180190883819739, other, 14:39:43:202, 14:40:03:558, 0.98504, 20.3564, 1, 300, 0.679621
129572895285309251, can, 14:39:40:149, 14:40:13:524, 0.686416, 33.3753, 1, 450, 61.1401
153873386223112258, limbs.n@99d31540-bbd5-4a47-be3c-8d454fc89780, 14:39:43:406, 14:40:39:835, 7.91599, 56.4293, 0,  - , 29.8459
196206082513766736, speedily%4:02:00::, 14:40:15:970, 14:40:15:970, 2.9947, 0, 1,  - , 3.51771
224914245004177916, ., 14:39:39:718, 14:40:39:835, 9.91466, 60.1173, 0, 7350, 35.6417
234089447182800583, however.e@99b63345-4a7c-406a-9b50-e387b1265365, 14:39:40:039, 14:40:09:030, 0.456298, 28.9905, 0,  - , 13.4673
238713097465677210, in, 14:39:40:149, 14:40:31:860, 1.99614, 51.7115, 1, 2450, 19.9323
247278477959661152, woodlouse, 14:39:39:931, 14:40:13:267, 1.30484, 33.3356, 1, 100, 4.88385
255020866638450161, belong, 14:39:46:292, 14:40:14:765, 0.302102, 28.4732, 1, 50, 0.257969
259385947766338417, )@ac775b20-1977-430a-8b31-7bb6df638f35, 14:40:01:373, 14:40:37:443, 0.697937, 36.0699, 0,  - , 7.66026
264445346224138826, family, 14:39:46:292, 14:40:05:531, 0.657428, 19.2387, 1, 200, 0.00727317
273156185407028256, no%4:02:01::, 14:39:45:908, 14:40:22:193, 0.157508, 36.2853, 1,  - , 7.75542
352801265708072899, for.p@94c30512-60ff-4fef-ad9c-d17ab2469620, 14:40:14:122, 14:40:39:835, 6.20614, 25.7134, 1,  - , 3.42786
383366309441692753, inward%4:02:01::, 14:39:45:781, 14:40:20:173, 2.54094, 34.3916, 1,  - , 7.43751
384797615427064134, ), 14:39:41:160, 14:40:34:192, 0.890287, 53.0311, 0, 150, 0.673543
397163841081901640, move.v@a1e41199-bca9-4ac5-bcae-b90d688cb2fc, 14:40:13:919, 14:40:39:835, 5.62496, 25.9163, 1,  - , 2.47548
421859122580166243, gather, 14:39:41:732, 14:39:43:782, 2.84602, 2.05023, 1, 50, 0.17044
433415548182471497, .@3c7a6816-d335-408c-b938-1242780eeac8, 14:40:04:784, 14:40:39:835, 8.37398, 35.0511, 0,  - , 5.52749
443514927522192133, unlike, 14:39:40:149, 14:39:59:844, 1.59075, 19.695, 1, 50, 6.67985
454213604292819815, do%2:36:02::, 14:39:40:149, 14:39:40:486, 0.114424, 0.337436, 1,  - , 5.77098
486914246794951718, feeding, 14:39:42:469, 14:40:39:835, 10.5551, 57.3663, 1, 100, 3.345
511339172595570551, lepidopterans@5d168bfc-851b-4be7-a44b-8e77f6e7ae26, 14:40:37:210, 14:40:39:835, 4.73533, 2.62542, 1,  - , 5.07485
533049664271630316, similar, 14:39:41:160, 14:40:33:034, 1.03632, 51.8733, 1, 150, 5.50705
542782313730028076, the@740ef132-c5df-4612-a7c8-8fffbaece079, 14:40:04:077, 14:40:39:835, 9.08473, 35.7581, 0,  - , 5.55098
549817980321782562, comprise, 14:39:41:506, 14:40:39:835, 5.94792, 58.329, 1, 50, 11.4234
560437915148262375, most%4:02:00::, 14:39:39:823, 14:39:52:229, 3.0686, 12.4058, 1,  - , 14.8441
577019753772605008, and.j-v@673e2e54-a841-4410-b2b9-be53f1953c9d, 14:39:43:918, 14:40:39:835, 9.19717, 55.9177, 0,  - , 14.2763
603997172506141692, nervous%3:01:00::, 14:40:14:965, 14:40:14:965, 3.04255, 0, 1,  - , 3.56343
611250674149836212, related.v-d@bc30ccc1-0176-4511-907e-f472e1112b59, 14:40:01:186, 14:40:34:991, 0.824622, 33.8053, 0,  - , 5.18512
630185169451008701, deters, 14:39:43:202, 14:40:39:835, 5.07134, 56.6335, 0, 100, 0.34325
636331480535208954, hydraulic.a@02a1caa0-c6d7-4c5e-b94a-4604aa9ca4b7, 14:39:44:930, 14:40:39:835, 8.49898, 54.9055, 0,  - , 8.96314
643335844547241829, act%2:29:00::, 14:39:40:149, 14:39:40:486, 0.114424, 0.337436, 1,  - , 3.27098
647904714864048720, adapted, 14:39:42:469, 14:40:39:835, 7.29262, 57.3663, 0, 100, 1.01245
672209744764972597, nevertheless%4:02:00::, 14:39:40:039, 14:39:40:935, 1.68243, 0.895961, 1,  - , 5.30771
675472484026836756, 10.000000, 14:39:40:261, 14:39:40:373, 1.54347, 0.111817, 1,  - , 2.04049
690693652329620029, species, 14:39:40:373, 14:40:31:119, 1.82344, 50.7459, 1, 1050, 10.5975
758278191060126781, extensor_muscle%1:08:00::, 14:39:45:047, 14:40:13:724, 0.359656, 28.6772, 1,  - , 8.28555
778951813136607985, of@e73003f1-571a-4541-bef7-5d7eff37ccf5, 14:40:09:232, 14:40:39:835, 5.90471, 30.6037, 0,  - , 3.95763
808825995097014899, .@1e3c3a27-9e8d-4443-add9-6feaf9aad8ee, 14:40:04:784, 14:40:39:835, 8.37398, 35.0511, 0,  - , 5.52749
821879334871727856, noun, 14:39:40:261, 14:39:59:844, 2.02307, 19.5828, 0,  - , 5.04032
865994518079828500, _quantity, 14:39:40:373, 14:39:40:373, 0.0211508, 0, 1,  - , 2.70671
882972761056795330, make%2:36:05::, 14:39:40:149, 14:39:40:486, 0.114424, 0.337437, 1,  - , 5.27098
896047577248127404, pollen%1:20:00::, 14:40:21:276, 14:40:21:276, 3.48537, 0, 1,  - , 3.9954
927199144002112699, lepidoptera, 14:39:41:506, 14:40:36:759, 0.764102, 55.2522, 0, 50, 1.42185
955007819498838415, 3000, 14:39:40:373, 14:40:39:835, 10.5315, 59.4626, 0, 100, 1.67911
955987140607737743, systems.n@65e69c2b-39bd-4609-83dd-fe4eae627400, 14:40:01:186, 14:40:39:835, 7.59987, 38.6492, 0,  - , 8.28339
1030432051235113537, in%4:02:01::, 14:39:45:642, 14:40:20:173, 2.53788, 34.5304, 1,  - , 6.43817
1049277308897661329, the@4c6ca594-b6c3-4226-880f-d15106d5afbf, 14:40:04:077, 14:40:39:835, 9.08473, 35.7581, 0,  - , 5.21765
1057495428784606851, plural, 14:39:40:149, 14:39:40:373, 1.10324, 0.223954, 0,  - , 2.37403
1088089288735802319, ,@1a363236-cf51-42ba-8248-5a688dac1ab8, 14:39:44:930, 14:40:39:835, 4.8766, 54.9055, 0,  - , 8.71833
1113997609004476165, near%4:02:03::, 14:39:39:823, 14:40:23:581, 2.90388, 43.7577, 1,  - , 11.3423
1153987369686549617, do%2:42:00::, 14:39:40:149, 14:39:40:486, 0.114424, 0.337437, 1,  - , 4.77098
1168348032942467606, sentence@2618737d-6232-4ed4-bafe-1404da63508f_parse_0, 14:39:40:149, 14:40:06:783, 0.513513, 26.6345, 0,  - , 18.3825
1213070148471566782, were, 14:39:43:918, 14:40:09:030, 0.419026, 25.1121, 0, 100, 0.675538
1217402448328952847, no_more%4:02:05::, 14:39:45:908, 14:40:21:968, 0.00892153, 36.0601, 1,  - , 6.25441
1217737043142004148, northern, 14:39:42:841, 14:40:01:015, 1.61776, 18.174, 1, 250, 2.6749
1228029224727897454, I@14b3b619-f849-4044-8a96-5801c3818942, 14:39:40:261, 14:39:40:373, 0.0581667, 0.111819, 0,  - , 3.87357
