TOTAL_STIMULUS_REC: 427
NLP_parse_percentage_in_AF: 1.4013e-45
Logged_at: 17:00:00:000
Atom(uuid), Atom(name), EnteredAt, LastSeenAt, STI, DurationInAF, IsNLPParseOutput, DirectSTI, GainFromSpreading
4654110401115762, pollen, 14:39:42:469, 14:40:04:309, 0.692552, 21.84, 1, 150, 1.84133
47153927320151812, nigh%4:02:01::, 14:39:39:823, 14:40:10:488, 3.8841, 30.6645, 1,  - , 10.8395
91020781493705917, from@55060cfd-9b6f-4436-82e7-3798218825f6, 14:40:00:660, 14:40:12:989, 17.4754, 12.3292, 0,  - , 6.22808
129180190883819739, other, 14:39:43:202, 14:40:03:558, 0.938949, 20.3564, 1, 200, 0.339676
129572895285309251, can, 14:39:40:149, 14:40:12:989, 7.92625, 32.8404, 1, 300, 51.4655
153873386223112258, limbs.n@99d31540-bbd5-4a47-be3c-8d454fc89780, 14:39:43:406, 14:40:01:015, 1.30735, 17.6091, 0,  - , 28.2908
224914245004177916, ., 14:39:39:718, 14:40:12:989, 59.6823, 33.2712, 0, 4850, 22.2669
234089447182800583, however.e@99b63345-4a7c-406a-9b50-e387b1265365, 14:39:40:039, 14:40:09:030, 0.458466, 28.9905, 0,  - , 11.7103
238713097465677210, in, 14:39:40:149, 14:40:12:989, 8.36316, 32.8404, 1, 1200, 15.7567
247278477959661152, woodlouse, 14:39:39:931, 14:40:12:989, 8.06321, 33.0578, 1, 100, 3.29341
255020866638450161, belong, 14:39:46:292, 14:40:12:989, 6.42982, 26.6972, 1, 50, 0.25193
259385947766338417, )@ac775b20-1977-430a-8b31-7bb6df638f35, 14:40:01:373, 14:40:12:989, 13.9587, 11.6165, 0,  - , 7.65792
264445346224138826, family, 14:39:46:292, 14:40:05:531, 0.668681, 19.2387, 1, 200, 0.00192955
273156185407028256, no%4:02:01::, 14:39:45:908, 14:40:12:989, 4.66509, 27.0818, 1,  - , 7.24999
383366309441692753, inward%4:02:01::, 14:39:45:781, 14:40:12:989, 5.40946, 27.2083, 1,  - , 6.43139
384797615427064134, ), 14:39:41:160, 14:40:12:989, 17.8056, 31.8289, 0, 150, 0.67023
421859122580166243, gather, 14:39:41:732, 14:39:43:782, 1.73766, 2.05023, 1, 50, 0.169638
433415548182471497, .@3c7a6816-d335-408c-b938-1242780eeac8, 14:40:04:784, 14:40:12:989, 8.37398, 8.205, 0,  - , 4.85995
443514927522192133, unlike, 14:39:40:149, 14:39:59:844, 1.60067, 19.695, 1, 50, 4.00651
454213604292819815, do%2:36:02::, 14:39:40:149, 14:39:40:486, 0.114421, 0.337436, 1,  - , 5.7708
486914246794951718, feeding, 14:39:42:469, 14:40:04:309, 0.694485, 21.84, 1, 100, 2.8382
533049664271630316, similar, 14:39:41:160, 14:40:12:989, 5.31351, 31.8289, 1, 150, 3.92071
542782313730028076, the@740ef132-c5df-4612-a7c8-8fffbaece079, 14:40:04:077, 14:40:12:989, 9.08473, 8.91198, 0,  - , 5.54942
549817980321782562, comprise, 14:39:41:506, 14:40:12:989, 5.94792, 31.4829, 1, 50, 10.0035
560437915148262375, most%4:02:00::, 14:39:39:823, 14:39:52:229, 3.12942, 12.4058, 1,  - , 14.3393
577019753772605008, and.j-v@673e2e54-a841-4410-b2b9-be53f1953c9d, 14:39:43:918, 14:40:12:989, 9.19715, 29.0716, 0,  - , 13.1039
611250674149836212, related.v-d@bc30ccc1-0176-4511-907e-f472e1112b59, 14:40:01:186, 14:40:12:989, 16.6521, 11.8032, 0,  - , 4.84944
630185169451008701, deters, 14:39:43:202, 14:40:03:725, 0.755825, 20.5229, 0, 100, 0.00321761
636331480535208954, hydraulic.a@02a1caa0-c6d7-4c5e-b94a-4604aa9ca4b7, 14:39:44:930, 14:40:04:309, 0.662069, 19.3793, 0,  - , 7.95714
643335844547241829, act%2:29:00::, 14:39:40:149, 14:39:40:486, 0.114421, 0.337436, 1,  - , 3.2708
647904714864048720, adapted, 14:39:42:469, 14:40:12:989, 7.2926, 30.5202, 0, 100, 0.338203
672209744764972597, nevertheless%4:02:00::, 14:39:40:039, 14:39:40:935, 1.68575, 0.895961, 1,  - , 4.80658
675472484026836756, 10.000000, 14:39:40:261, 14:39:40:373, 1.55372, 0.111817, 1,  - , 1.70693
690693652329620029, species, 14:39:40:373, 14:40:12:989, 36.8566, 32.6165, 1, 1050, 7.92276
758278191060126781, extensor_muscle%1:08:00::, 14:39:45:047, 14:40:12:989, 7.24985, 27.9423, 1,  - , 7.77886
778951813136607985, of@e73003f1-571a-4541-bef7-5d7eff37ccf5, 14:40:09:232, 14:40:12:989, 5.90471, 3.75762, 0,  - , 3.62395
808825995097014899, .@1e3c3a27-9e8d-4443-add9-6feaf9aad8ee, 14:40:04:784, 14:40:12:989, 8.37398, 8.205, 0,  - , 4.85995
821879334871727856, noun, 14:39:40:261, 14:39:59:844, 2.06644, 19.5828, 0,  - , 4.37351
865994518079828500, _quantity, 14:39:40:373, 14:39:40:373, 0.0211508, 0, 1,  - , 2.37338
882972761056795330, make%2:36:05::, 14:39:40:149, 14:39:40:486, 0.114421, 0.337437, 1,  - , 4.7708
927199144002112699, lepidoptera, 14:39:41:506, 14:40:12:989, 15.2819, 31.4829, 0, 50, 1.42
955007819498838415, 3000, 14:39:40:373, 14:40:01:461, 1.13922, 21.0882, 0, 100, 1.00592
955987140607737743, systems.n@65e69c2b-39bd-4609-83dd-fe4eae627400, 14:40:01:186, 14:40:12:989, 7.59987, 11.8032, 0,  - , 8.28105
1030432051235113537, in%4:02:01::, 14:39:45:642, 14:40:12:989, 5.40946, 27.347, 1,  - , 6.43148
1049277308897661329, the@4c6ca594-b6c3-4226-880f-d15106d5afbf, 14:40:04:077, 14:40:12:989, 9.08473, 8.91198, 0,  - , 5.21609
1057495428784606851, plural, 14:39:40:149, 14:39:40:373, 1.1038, 0.223954, 0,  - , 2.37385
1088089288735802319, ,@1a363236-cf51-42ba-8248-5a688dac1ab8, 14:39:44:930, 14:40:05:266, 0.585527, 20.3359, 0,  - , 7.46207
1113997609004476165, near%4:02:03::, 14:39:39:823, 14:40:12:989, 4.24081, 33.1661, 1,  - , 10.3385
1153987369686549617, do%2:42:00::, 14:39:40:149, 14:39:40:486, 0.114421, 0.337437, 1,  - , 4.2708
1168348032942467606, sentence@2618737d-6232-4ed4-bafe-1404da63508f_parse_0, 14:39:40:149, 14:40:06:783, 0.520474, 26.6345, 0,  - , 15.7095
1213070148471566782, were, 14:39:43:918, 14:40:09:030, 0.470425, 25.1121, 0, 100, 0.00226109
1217402448328952847, no_more%4:02:05::, 14:39:45:908, 14:40:12:989, 4.50649, 27.0818, 1,  - , 5.74975
1217737043142004148, northern, 14:39:42:841, 14:40:01:015, 1.62263, 18.174, 1, 250, 0.336397
1228029224727897454, I@14b3b619-f849-4044-8a96-5801c3818942, 14:39:40:261, 14:39:40:373, 0.058166, 0.111819, 0,  - , 3.54017
1230484456261868096, somewhat, 14:39:41:160, 14:40:12:989, 6.43806, 31.8289, 1, 100, 6.08803
1274177074795690889, no%4:02:02::, 14:39:45:908, 14:40:12:989, 4.70741, 27.0818, 1,  - , 5.24975
1297336434150684834, present_future, 14:39:40:149, 14:39:40:486, 0.706485, 0.337437, 0,  - , 3.04052
1354872220123196599, doh%1:10:00::, 14:39:40:149, 14:39:40:486, 0.114421, 0.337437, 1,  - , 5.2708
1367477221623553515, by%4:02:00::, 14:39:45:781, 14:40:12:989, 4.86141, 27.2083, 1,  - , 5.88127
1370757114754389768, to.r@85f2227f-a110-42af-92df-f5dd769ed678, 14:40:05:266, 14:40:12:989, 11.3798, 7.72358, 0,  - , 4.95997
1384551694518126213, demonstrative, 14:39:40:373, 14:39:40:373, 0.997581, 0, 0,  - , 1.04017
1414179749453029624, bees.n@cf37513e-4f36-4049-9e0d-1131bb2827f6, 14:40:01:794, 14:40:12:989, 5.86082, 11.1952, 0,  - , 6.53873
1426215001711267418, most@0a149c9b-a09b-4b90-aac3-00feb54a5639, 14:39:47:556, 14:40:09:812, 3.73613, 22.2558, 0,  - , 3.28188
1449581650341107687, in%1:23:00::, 14:39:45:642, 14:40:12:989, 5.40946, 27.347, 1,  - , 6.43148
1502891525357445923, away%4:02:02::, 14:39:45:781, 14:40:12:989, 4.86141, 27.2083, 1,  - , 6.38127
1517594385247747428, do%2:42:02::, 14:39:40:149, 14:39:40:486, 0.114421, 0.337437, 1,  - , 5.7708
1529752727418865580, sentence@2618737d-6232-4ed4-bafe-1404da63508f_parse_0_interpretation_$X, 14:39:40:373, 14:39:40:373, 0.0211508, 0, 0,  - , 1.37338
1535471452479425160, $to, 14:40:05:266, 14:40:05:266, 3.95725, 0, 1,  - , 4.37663
1538698962689516020, ut%1:10:00::, 14:39:40:149, 14:39:40:486, 0.114421, 0.337437, 1,  - , 6.7708
1559143987269818818, do%2:36:00::, 14:39:40:149, 14:39:40:486, 0.114421, 0.337437, 1,  - , 6.7708
1570813373529498099, 9.000000, 14:39:40:149, 14:39:40:373, 0.99001, 0.223955, 0,  - , 1.37385
1643685553430832144, their.p@48d01af2-dd47-4503-8197-4341c65f834b, 14:39:43:406, 14:39:59:844, 1.5981, 16.4378, 0,  - , 8.43667
1645300704651347998, predators, 14:39:43:202, 14:40:03:558, 0.811474, 20.3564, 0, 150, 0.00321742
1649870299427126883, species.s@ff9d55d4-aa75-433b-9bf9-b4e481d8e099, 14:40:09:442, 14:40:12:989, 8.14193, 3.54708, 0,  - , 3.83759
1657298340877038461, mesothelae@8f4d23aa-3372-49c4-aa3c-cb649184b8f8, 14:40:12:059, 14:40:12:989, 9.41756, 0.930777, 0,  - , 3.86245
1677558572733333171, colonised, 14:39:44:296, 14:40:12:989, 7.49937, 28.6932, 0, 50, 0.00226113
1690556893304252677, related%3:00:01::, 14:40:05:784, 14:40:12:989, 5.51509, 7.20541, 1,  - , 6.02381
1709348023353817495, arthropods@0204c7ee-f6da-49da-89ae-832e6a135028, 14:39:43:406, 14:40:01:186, 1.13516, 17.7801, 0,  - , 24.3738
1711660107896514418, ,@1442f3e8-4116-4c92-99fb-eab9b1543896, 14:40:09:030, 14:40:12:989, 6.13526, 3.95954, 0,  - , 3.73915
1715669325254664977, extensor%1:08:00::, 14:39:45:047, 14:40:12:989, 7.24985, 27.9423, 1,  - , 8.27886
1720466348917853779, manage%2:41:02::, 14:39:40:149, 14:39:40:486, 0.114227, 0.337437, 1,  - , 7.7708
1725000975837666100, order, 14:39:41:506, 14:40:11:144, 2.99248, 29.6372, 1, 200, 0.25474
1806201407966738481, the@6050a75c-f5db-4604-a197-09e46c7f5f75, 14:40:03:909, 14:40:12:989, 9.08473, 9.08005, 0,  - , 5.21609
1823876967346627266, this.p@2d363d0c-3649-418e-b0ab-31e7f073f609, 14:39:39:931, 14:40:02:166, 0.816341, 22.2345, 0,  - , 14.1968
1826991330843175649, today@dfd2497b-e887-4c88-8ce5-c5fd1d563893, 14:39:45:908, 14:40:12:989, 4.91417, 27.0818, 0,  - , 4.1359
1836969884662998553, temperate%3:00:00::, 14:40:04:309, 14:40:12:989, 6.74253, 8.68019, 1,  - , 7.25379
1870216846309171124, do, 14:39:39:718, 14:40:12:327, 3.00626, 32.6092, 1, 50, 232.136
1923223076929552340, halictidae, 14:39:42:841, 14:40:01:015, 1.56738, 18.174, 0, 250, 1.66973
1963091165040595300, withal%4:02:01::, 14:39:40:039, 14:39:40:935, 1.68437, 0.895962, 1,  - , 4.30685
1979695730676886498, ancient, 14:39:43:918, 14:40:01:461, 1.00749, 17.5433, 1, 250, 2.33536
1988906451665768167, their, 14:39:40:149, 14:39:59:678, 1.99605, 19.5295, 0, 350, 0.673183
1994244081237582837, and, 14:39:40:149, 14:40:12:989, 34.4783, 32.8404, 0, 2050, 8.67344
2018779602076955961, belonging%1:12:00::, 14:40:05:531, 14:40:12:989, 5.87808, 7.45847, 1,  - , 6.38789
2021241136354783636, instead.e@7ae6c4e0-bf6e-4ca0-bac9-64953766bb5a, 14:39:45:781, 14:40:09:232, 0.455262, 23.4506, 0,  - , 5.38885
2039579538807236167, 5.000000, 14:39:40:261, 14:39:40:373, 0.573029, 0.11182, 1,  - , 1.37351
2082955333770653050, mantises, 14:39:43:918, 14:40:06:783, 0.542692, 22.8656, 0, 250, 0.0022611
2100878958826593496, limbs, 14:39:40:149, 14:40:00:505, 1.61825, 20.3565, 0, 150, 0.673184
