at_time(sec), nonNLP_percentage, insect_percentage, poison_percentage, insecticide_percentage
0, 0.193059, 0.806941, 0, 0
0.105043, 0.226, 0.774, 0, 0
0.213277, 0.228, 0.772, 0, 0
0.321068, 0.306, 0.694, 0, 0
0.430684, 0.52, 0.48, 0, 0
0.54286, 0.528, 0.472, 0, 0
0.65468, 0.538, 0.462, 0, 0
0.768221, 0.62, 0.38, 0, 0.078
0.881583, 0.57, 0.43, 0, 0.078
0.992241, 0.562, 0.438, 0, 0.078
1.10202, 0.562, 0.438, 0, 0.078
1.21708, 0.558, 0.442, 0, 0.078
1.32855, 0.548, 0.452, 0, 0.078
1.44224, 0.552, 0.448, 0, 0.078
1.55661, 0.552, 0.448, 0, 0.078
1.6722, 0.552, 0.448, 0, 0.078
1.78852, 0.562, 0.438, 0, 0.078
1.90082, 0.562, 0.438, 0, 0.078
2.01367, 0.57, 0.43, 0, 0.078
2.13028, 0.57, 0.43, 0, 0.078
2.15484, 0.57, 0.43, 0, 0.078
2.27263, 0.586, 0.414, 0, 0.078
2.39162, 0.588, 0.412, 0, 0.078
2.50729, 0.588, 0.412, 0, 0.078
2.63047, 0.596, 0.404, 0, 0.078
2.75103, 0.602, 0.398, 0, 0.078
2.87644, 0.602, 0.398, 0, 0.078
3.00225, 0.612, 0.388, 0, 0.078
3.12294, 0.596, 0.404, 0, 0.078
3.24001, 0.53, 0.47, 0, 0.078
3.36186, 0.526, 0.474, 0, 0.078
3.48371, 0.514, 0.486, 0, 0.078
3.55659, 0.482, 0.518, 0, 0.078
3.68795, 0.43, 0.57, 0, 0.038
3.8192, 0.402, 0.598, 0, 0
3.94545, 0.39, 0.61, 0, 0
4.06392, 0.382, 0.618, 0, 0
4.19959, 0.36, 0.64, 0, 0
4.31631, 0.358, 0.642, 0, 0.002
4.43804, 0.358, 0.642, 0, 0
4.57802, 0.362, 0.638, 0, 0
4.6965, 0.36, 0.64, 0, 0
4.81907, 0.358, 0.642, 0, 0
4.94038, 0.35, 0.65, 0, 0
5.08998, 0.33, 0.67, 0, 0
5.21167, 0.324, 0.676, 0, 0
5.32884, 0.33, 0.67, 0, 0.002
