TOTAL_STIMULUS_REC: 709
NLP_parse_percentage_in_AF: 1.4013e-45
Logged_at: 17:00:00:000
Prev_topic_percentage_in_af: 0
Current_topic_percentage_in_af: 0
Atom(uuid), Atom(name), EnteredAt, LastSeenAt, STI, DurationInAF, IsNLPParseOutput, DirectSTI, GainFromSpreading
47153927320151812, nigh%4:02:01::, 14:13:38:865, 14:14:36:157, 4.31786, 57.292, 1,  - , 48.1921
129572895285309251, can, 14:13:38:974, 14:14:26:848, 3.50346, 47.8743, 1, 2700, 2.4706
203398228812374584, tropical.a@22856e1f-0156-4a3a-a8ae-aab1f5d11b9c, 14:13:51:653, 14:14:03:229, 3.30326, 11.5759, 0,  - , 7.45552
224914245004177916, ., 14:13:38:541, 14:14:36:157, 5.55792, 57.6153, 0, 44100, 79.1668
238713097465677210, in, 14:13:39:083, 14:14:36:157, 27.337, 57.0737, 1, 14700, 34.1901
247278477959661152, woodlouse, 14:13:38:646, 14:14:36:157, 11.7063, 57.511, 1, 600, 13.7307
264350673662521529, extend.v@950f59fb-b2d3-4f6f-b496-dafc73a70e41, 14:13:47:252, 14:14:36:157, 11.1993, 48.9041, 0,  - , 16.998
273156185407028256, no%4:02:01::, 14:13:53:983, 14:14:36:157, 7.54611, 42.1738, 1,  - , 6.05071
287421456811839944, the@d687d7f3-d4df-4469-a99a-bbfa6e0af805, 14:13:51:446, 14:14:03:229, 1.13281, 11.7831, 0,  - , 4.19088
383366309441692753, inward%4:02:01::, 14:13:47:823, 14:14:36:157, 6.22176, 48.334, 1,  - , 11.0706
384797615427064134, ), 14:13:40:092, 14:13:42:053, 1.21435, 1.96125, 0, 900, 3.00328
443514927522192133, unlike, 14:13:39:083, 14:14:36:157, 20.2612, 57.0737, 1, 300, 10.6926
454213604292819815, do%2:36:02::, 14:13:38:974, 14:13:40:674, 1.38397, 1.70032, 1,  - , 5.35234
471828412990311018, ,@6b1b64c0-1be6-4ac9-a0e6-1ea33d1413a0, 14:14:31:861, 14:14:31:861, 3.95931, 0, 1,  - , 3.3408
533049664271630316, similar, 14:13:40:092, 14:13:41:929, 1.86456, 1.83657, 1, 900, 0.253344
549817980321782562, comprise, 14:13:40:327, 14:13:42:180, 0.798577, 1.85339, 1, 300, 0.254158
560437915148262375, most%4:02:00::, 14:13:38:865, 14:14:26:584, 3.16326, 47.7198, 1,  - , 25.6995
643335844547241829, act%2:29:00::, 14:13:38:974, 14:13:40:674, 1.37803, 1.70032, 1,  - , 5.85216
672209744764972597, nevertheless%4:02:00::, 14:13:38:865, 14:14:27:854, 1.16503, 48.9894, 1,  - , 29.9413
675472484026836756, 10.000000, 14:13:38:974, 14:14:36:157, 5.0391, 57.1826, 1,  - , 3.46138
690693652329620029, species, 14:13:39:301, 14:14:36:157, 11.5481, 56.8553, 1, 6300, 13.4427
708397436486243263, ,@23bb55aa-2f51-4a94-b503-c4dd7243a3aa, 14:13:41:759, 14:14:36:157, 6.76915, 54.3972, 0,  - , 14.3896
758278191060126781, extensor_muscle%1:08:00::, 14:13:47:823, 14:14:36:157, 4.50002, 48.334, 1,  - , 12.1706
821879334871727856, noun, 14:13:38:974, 14:14:36:157, 7.02647, 57.1826, 0,  - , 10.8081
865994518079828500, _quantity, 14:13:38:974, 14:14:36:157, 5.11982, 57.1826, 1,  - , 3.79006
882972761056795330, make%2:36:05::, 14:13:38:974, 14:13:40:674, 1.4843, 1.70032, 1,  - , 4.8524
927199144002112699, lepidoptera, 14:13:40:327, 14:13:40:674, 0.452925, 0.347488, 0, 300, 0.00200062
955007819498838415, 3000, 14:13:39:301, 14:14:36:157, 9.59645, 56.8553, 0, 600, 2.6895
962192904325844242, (@f1666925-c0bd-4c04-a853-be161f8db27f, 14:13:52:125, 14:13:52:941, 3.21706, 0.81539, 0,  - , 3.31976
1030432051235113537, in%4:02:01::, 14:13:47:823, 14:14:36:157, 6.25597, 48.334, 1,  - , 10.5711
1057495428784606851, plural, 14:13:38:974, 14:14:36:157, 8.51602, 57.1826, 0,  - , 4.80119
1064371722496667478, this.p@aabb27ed-fc98-491d-8274-123b59c7eaba, 14:13:38:646, 14:14:36:157, 34.9817, 57.511, 0,  - , 25.014
1113997609004476165, near%4:02:03::, 14:13:38:865, 14:14:31:861, 1.2476, 52.9969, 1,  - , 39.693
1133153338240398573, of@7bdb2e99-fb52-47cb-92e3-dd2814e50bc6, 14:13:51:446, 14:14:36:157, 4.91854, 44.711, 0,  - , 5.65699
1153987369686549617, do%2:42:00::, 14:13:38:974, 14:13:40:674, 1.45203, 1.70032, 1,  - , 5.85285
1175589746270536087, Os@83f2a57c-dccc-40b3-8d42-e04f334ddcb7, 14:13:38:974, 14:14:33:576, 4.13167, 54.6017, 0,  - , 6.71058
1217402448328952847, no_more%4:02:05::, 14:13:53:632, 14:14:34:112, 4.18208, 40.4799, 1,  - , 6.05331
1230484456261868096, somewhat, 14:13:40:092, 14:13:42:053, 1.12947, 1.96125, 1, 600, 0.255859
1269874452015329819, are.v@36fa32d8-432f-4a2d-b2e8-ccea561d9150, 14:13:47:687, 14:14:02:959, 2.87303, 15.2718, 0,  - , 9.38592
1274177074795690889, no%4:02:02::, 14:13:51:793, 14:14:36:157, 4.67205, 44.3635, 1,  - , 5.55534
1297336434150684834, present_future, 14:13:38:974, 14:14:08:191, 3.51239, 29.2168, 0,  - , 4.12949
1354872220123196599, doh%1:10:00::, 14:13:38:974, 14:13:42:435, 1.49537, 3.46122, 1,  - , 5.35496
1367477221623553515, by%4:02:00::, 14:13:47:687, 14:14:29:483, 3.79295, 41.796, 1,  - , 11.96
1384551694518126213, demonstrative, 14:13:38:974, 14:14:28:088, 2.71085, 49.1144, 0,  - , 2.46231
1398544481735865937, muscles.n@e804ce89-380b-44b4-bebe-fcd88468bf43, 14:13:43:807, 14:14:36:157, 32.621, 52.3496, 0,  - , 10.263
1449581650341107687, in%1:23:00::, 14:13:47:823, 14:14:32:170, 0.799253, 44.3473, 1,  - , 10.5703
1455309111751117554, most@56a60e90-23d6-4d3c-a76f-24e0c7fa0472, 14:13:39:192, 14:14:36:157, 7.52716, 56.9646, 0,  - , 8.68673
1502632565344433417, by@10f2471e-7642-48fd-9ef7-7cfb8f963b45, 14:14:28:088, 14:14:34:112, 4.29278, 6.02345, 1,  - , 2.16715
1502891525357445923, away%4:02:02::, 14:13:47:687, 14:14:29:483, 3.53327, 41.796, 1,  - , 11.4598
1517594385247747428, do%2:42:02::, 14:13:38:974, 14:13:40:674, 1.47428, 1.70032, 1,  - , 5.35199
1538698962689516020, ut%1:10:00::, 14:13:38:974, 14:13:40:674, 1.50604, 1.70032, 1,  - , 6.3524
1559143987269818818, do%2:36:00::, 14:13:38:974, 14:13:40:674, 1.49034, 1.70032, 1,  - , 5.35372
1570813373529498099, 9.000000, 14:13:38:974, 14:14:28:088, 2.70732, 49.1144, 0,  - , 3.79273
1586971809663535599, species.p@08614031-3dbd-4fae-b571-da1df5b7528a, 14:13:46:591, 14:14:36:157, 4.3177, 49.5659, 0,  - , 11.6529
1614908691088093019, LEFT-WALL@sentence@fd03936c-914c-494b-a9ca-241abe32aa0d_parse_0, 14:13:41:526, 14:14:36:157, 6.68104, 54.6302, 0,  - , 15.2108
1715669325254664977, extensor%1:08:00::, 14:13:47:823, 14:14:36:157, 4.50002, 48.334, 1,  - , 11.1706
1720466348917853779, manage%2:41:02::, 14:13:38:974, 14:13:40:674, 1.59779, 1.70032, 1,  - , 6.85214
1725000975837666100, order, 14:13:40:327, 14:13:40:915, 0.855376, 0.588351, 1, 1200, 0.00289503
1814525921795706338, their.p@82ec9a48-cbf5-4221-a1b1-a86ec3c5f216, 14:13:43:433, 14:14:36:157, 40.1231, 52.7239, 0,  - , 21.8132
1870216846309171124, do, 14:13:38:541, 14:14:36:157, 92.4368, 57.6153, 1, 300, 201.823
1963091165040595300, withal%4:02:01::, 14:13:38:865, 14:14:28:088, 1.16514, 49.2238, 1,  - , 29.9433
1988906451665768167, their, 14:13:39:083, 14:14:36:157, 29.4177, 57.0737, 0, 2400, 4.35977
1994244081237582837, and, 14:13:39:083, 14:14:36:157, 7.685, 57.0737, 0, 19800, 13.0258
2016554121779384125, limbs.n@73116c4b-6e8e-4837-8cc4-195cf9ccd6eb, 14:13:43:807, 14:14:36:157, 15.0907, 52.3496, 0,  - , 42.3159
2039579538807236167, 5.000000, 14:13:38:974, 14:14:31:564, 2.08767, 52.5895, 1,  - , 3.45883
2100878958826593496, limbs, 14:13:39:083, 14:14:36:157, 16.9133, 57.0737, 0, 900, 2.35975
2118405488796988307, hydraulic, 14:13:39:083, 14:14:36:157, 29.6357, 57.0737, 1, 300, 6.69309
2142070874765165015, adj, 14:14:28:883, 14:14:36:157, 4.42246, 7.27406, 1,  - , 6.71366
2143328716067287992, adj, 14:13:38:974, 14:14:29:483, 4.11639, 50.509, 0,  - , 6.79001
2156967644893522867, nearly%4:02:00::, 14:13:38:865, 14:14:05:005, 1.23141, 26.14, 1,  - , 40.6937
2186017606666601139, sentence@f75be4d3-8dfc-4765-8d26-c5cacdb354d0, 14:13:38:974, 14:14:08:996, 0.711524, 30.022, 0,  - , 5.45607
2263783472620955547, 1.000000, 14:13:38:974, 14:14:29:210, 2.25141, 50.2356, 1,  - , 5.91402
2264428418476282409, to_the_highest_degree, 14:14:03:442, 14:14:26:311, 1.39255, 22.8699, 1,  - , 9.92927
2281614486744798108, however%4:02:01::, 14:13:38:865, 14:14:36:157, 4.62939, 57.292, 1,  - , 19.9496
2316895810377224079, WV@903ec3b0-9123-44fb-85ed-9733bf68ce1a, 14:13:38:974, 14:14:29:483, 1.00444, 50.509, 0,  - , 6.51305
2319410466867980464, most@56c027cf-9425-410a-a3ff-b6ebdc5141cc, 14:14:00:823, 14:14:36:157, 5.10902, 35.3341, 0,  - , 4.61538
2327303369434132427, move, 14:13:40:092, 14:13:52:941, 0.691471, 12.8487, 1, 600, 1.5053
2330216863870639693, _subj, 14:13:38:974, 14:14:31:564, 2.51038, 52.5895, 1,  - , 3.4593
2383728019609191491, insects, 14:13:40:327, 14:13:40:674, 0.562515, 0.347484, 0, 3300, 0.668389
2390611616569436914, 3.000000, 14:13:38:974, 14:14:31:861, 3.73772, 52.8874, 0,  - , 3.80116
2414096359491665424, behave%2:29:00::, 14:13:38:974, 14:13:40:674, 1.37542, 1.70032, 1,  - , 5.3535
2418339059135463580, instead%4:02:01::, 14:13:47:398, 14:14:36:157, 7.51369, 48.7583, 1,  - , 15.6144
2469515225964199258, cannot, 14:13:38:541, 14:14:36:157, 60.2975, 57.6153, 0, 300, 37.5844
2493461862721859238, negative, 14:13:38:974, 14:13:39:517, 3.77498, 0.542666, 1,  - , 2.12301
2531542951854501732, however, 14:13:38:541, 14:14:36:157, 74.8515, 57.6153, 1, 600, 95.8538
2539975159561509014, ,@e2eb7e29-dde7-4f2a-a59a-eb7c86aaa6b8, 14:13:38:646, 14:14:36:157, 29.1204, 57.511, 0,  - , 15.6474
2628594567814189908, however.e@ffe52a35-b603-47c1-96b5-ce6e29a0e20e, 14:13:38:865, 14:14:36:157, 22.487, 57.292, 0,  - , 24.146
2635402030244951882, distantly, 14:13:40:092, 14:14:03:229, 1.07103, 23.1368, 1, 600, 6.92846
2764295276851076084, stores, 14:13:40:560, 14:13:40:674, 1.67881, 0.114352, 0, 300, 0.00151854
2860607146532138253, world, 14:13:39:301, 14:13:47:957, 3.4179, 8.65522, 1, 2100, 63.3463
2884103069529025768, nearly, 14:13:42:809, 14:13:43:683, 0.670185, 0.873633, 1, 600, 29.4758
2911679067578102987, are.v@11365be4-8ea6-40e6-a418-0ac431a8d21b, 14:13:47:687, 14:14:02:959, 2.86179, 15.2718, 0,  - , 8.05285
2965413457788631849, arthropods@b693ce7a-f989-4546-8b55-c24eda44de5c, 14:13:44:852, 14:14:36:157, 7.20171, 51.3049, 0,  - , 26.8158
3007531489510329056, arthropods, 14:13:39:083, 14:14:36:157, 9.87455, 57.0737, 0, 1200, 2.35975
3015871099953417758, do.v@e0fa4708-7867-4b88-b616-fb454a1a118d, 14:13:38:646, 14:14:36:157, 30.2238, 57.511, 0,  - , 35.6307
3019593057155481529, rapidly, 14:13:40:092, 14:13:42:053, 1.37178, 1.96124, 1, 600, 0.00380118
3023183378298615090, Wd@23c01b0b-202e-4d98-a804-9d855d69a347, 14:13:38:974, 14:14:26:848, 2.70859, 47.8743, 0,  - , 6.34832
3037490115354289999, hydraulic%3:01:01::, 14:13:46:591, 14:14:36:157, 11.4464, 49.5659, 1,  - , 16.9031
3040206857299118756, ,@867b32f0-7add-45de-b386-e4b3fe0631f1, 14:13:47:687, 14:14:36:157, 4.57022, 48.4696, 0,  - , 9.79844
3056013185329419940, however%4:02:04::, 14:13:38:865, 14:14:36:157, 4.63167, 57.292, 1,  - , 16.4496
3088733034393613042, instead%4:02:00::, 14:13:47:398, 14:14:36:157, 7.19229, 48.7583, 1,  - , 15.1144
3091105361319645609, of@0d68a9cc-a809-4d1f-bd23-1b0e05156cf5, 14:13:51:446, 14:14:02:959, 3.58856, 11.5133, 0,  - , 7.4079
3111872955840072924, muscles, 14:13:39:083, 14:14:36:157, 25.7933, 57.0737, 0, 300, 1.35976
3153287208837351719, the@109600e3-c3de-479b-b922-f705f1228619, 14:13:51:446, 14:14:03:229, 1.13146, 11.7831, 0,  - , 4.52547
3190967192788588617, perform%2:41:00::, 14:13:38:974, 14:13:42:435, 1.39184, 3.46122, 1,  - , 4.85299
3198522095430569016, by, 14:13:39:083, 14:14:36:157, 33.2846, 57.0737, 1, 3600, 19.4431
