at_time(sec), nonNLP_percentage, insect_percentage, poison_percentage, insecticide_percentage
0, 0.176, 0.824, 0, 0
0.104102, 0.178, 0.822, 0, 0
0.21403, 0.226, 0.774, 0, 0
0.329137, 0.508, 0.492, 0, 0
0.441505, 0.508, 0.492, 0, 0
0.563918, 0.622, 0.378, 0, 0
0.680671, 0.656, 0.344, 0, 0
0.795213, 0.656, 0.344, 0, 0
0.910344, 0.67, 0.33, 0, 0
1.02244, 0.67, 0.33, 0, 0
1.13838, 0.67, 0.33, 0, 0
1.2536, 0.668, 0.332, 0, 0
1.37133, 0.668, 0.332, 0, 0
1.48724, 0.662, 0.338, 0, 0
1.60243, 0.638, 0.362, 0, 0
1.71835, 0.638, 0.362, 0, 0
1.83965, 0.574, 0.426, 0, 0.078
1.9551, 0.528, 0.472, 0, 0.078
2.07014, 0.528, 0.472, 0, 0.078
2.18611, 0.526, 0.474, 0, 0.078
2.30216, 0.522, 0.478, 0, 0.078
2.41681, 0.522, 0.478, 0, 0.078
2.53121, 0.522, 0.478, 0, 0.078
2.574, 0.514, 0.486, 0, 0.078
2.69187, 0.5, 0.5, 0, 0.078
2.81104, 0.496, 0.504, 0, 0.078
2.93172, 0.494, 0.506, 0, 0.078
3.05399, 0.498, 0.502, 0, 0.078
3.18139, 0.5, 0.5, 0, 0.078
3.30028, 0.504, 0.496, 0, 0.078
3.42312, 0.504, 0.496, 0, 0.078
3.5452, 0.508, 0.492, 0, 0.078
3.64696, 0.508, 0.492, 0, 0.078
3.77808, 0.508, 0.492, 0, 0.078
3.89949, 0.472, 0.528, 0, 0.078
4.03051, 0.448, 0.552, 0, 0.078
4.1534, 0.424, 0.576, 0, 0.078
4.26821, 0.408, 0.592, 0, 0.078
4.38734, 0.402, 0.598, 0, 0.078
4.46778, 0.402, 0.598, 0, 0.078
4.59137, 0.398, 0.602, 0, 0.078
4.72104, 0.398, 0.602, 0, 0.078
4.85003, 0.44, 0.56, 0, 0.078
4.98097, 0.444, 0.556, 0, 0.078
5.10982, 0.444, 0.556, 0, 0.078
5.25184, 0.444, 0.556, 0, 0.078
5.40731, 0.444, 0.556, 0, 0.078
5.54588, 0.444, 0.556, 0, 0.078
5.68389, 0.442, 0.558, 0, 0.078
5.80729, 0.442, 0.558, 0, 0.078
5.95203, 0.442, 0.558, 0, 0.078
6.07487, 0.428, 0.572, 0, 0.078
6.21574, 0.422, 0.578, 0, 0.078
6.34583, 0.422, 0.578, 0, 0.078
6.49988, 0.424, 0.576, 0, 0.078
6.63112, 0.422, 0.578, 0, 0.078
6.78004, 0.416, 0.584, 0, 0.078
6.92163, 0.418, 0.582, 0, 0.078
6.95829, 0.418, 0.582, 0, 0.078
7.09006, 0.418, 0.582, 0, 0.078
7.25299, 0.418, 0.582, 0, 0.078
7.38374, 0.418, 0.582, 0, 0.078
7.52514, 0.418, 0.582, 0, 0.078
7.66741, 0.418, 0.582, 0, 0.078
7.79749, 0.418, 0.582, 0, 0.078
7.92901, 0.418, 0.582, 0, 0.078
8.04183, 0.418, 0.582, 0, 0.078
8.18336, 0.418, 0.582, 0, 0.078
8.31821, 0.416, 0.584, 0, 0.078
8.48019, 0.42, 0.58, 0, 0.078
8.62842, 0.42, 0.58, 0, 0.078
8.79514, 0.422, 0.578, 0, 0.078
8.92641, 0.42, 0.58, 0, 0.078
9.0724, 0.42, 0.58, 0, 0.078
9.21102, 0.42, 0.58, 0, 0.078
9.35743, 0.42, 0.58, 0, 0.078
9.49017, 0.42, 0.58, 0, 0.078
9.62059, 0.42, 0.58, 0, 0.078
9.69017, 0.42, 0.58, 0, 0.078
9.86934, 0.42, 0.58, 0, 0.078
10.033, 0.42, 0.58, 0, 0.078
10.2164, 0.42, 0.58, 0, 0.078
10.3614, 0.42, 0.58, 0, 0.078
10.513, 0.42, 0.58, 0, 0.078
10.6791, 0.42, 0.58, 0, 0.078
10.8654, 0.42, 0.58, 0, 0.078
11.0198, 0.418, 0.582, 0, 0.078
11.1709, 0.418, 0.582, 0, 0.078
11.3449, 0.418, 0.582, 0, 0.078
11.4896, 0.424, 0.576, 0, 0.078
11.7, 0.426, 0.574, 0, 0.078
11.8401, 0.424, 0.576, 0, 0.078
11.9875, 0.41, 0.59, 0, 0.078
12.1425, 0.406, 0.594, 0, 0.078
12.3371, 0.406, 0.594, 0, 0.078
12.4938, 0.412, 0.588, 0, 0.078
12.662, 0.412, 0.588, 0, 0.078
12.819, 0.41, 0.59, 0, 0.078
13.0043, 0.384, 0.616, 0, 0
13.1494, 0.386, 0.614, 0, 0
13.2972, 0.366, 0.634, 0, 0
13.5093, 0.346, 0.654, 0, 0.002
13.662, 0.326, 0.674, 0, 0.004
13.8426, 0.314, 0.686, 0, 0
13.9904, 0.318, 0.682, 0, 0
14.1577, 0.316, 0.684, 0, 0
14.3077, 0.308, 0.692, 0, 0
14.4842, 0.302, 0.698, 0, 0
14.6347, 0.3, 0.7, 0, 0
14.7633, 0.298, 0.702, 0, 0
14.9697, 0.312, 0.688, 0, 0.078
15.1308, 0.308, 0.692, 0, 0.078
15.3715, 0.304, 0.696, 0, 0.078
15.5552, 0.304, 0.696, 0, 0.068
15.7371, 0.3, 0.7, 0, 0.066
15.8934, 0.3, 0.7, 0, 0.066
16.1236, 0.298, 0.702, 0, 0.058
16.295, 0.294, 0.706, 0, 0.054
16.4658, 0.294, 0.706, 0, 0.054
16.675, 0.294, 0.706, 0, 0.054
16.87, 0.294, 0.706, 0, 0.054
17.0182, 0.294, 0.706, 0, 0.054
17.1615, 0.294, 0.706, 0, 0.054
17.3302, 0.292, 0.708, 0, 0.052
17.4967, 0.292, 0.708, 0, 0.048
17.7101, 0.292, 0.708, 0, 0.046
17.8782, 0.296, 0.704, 0, 0.048
18.1186, 0.304, 0.696, 0, 0.054
18.3412, 0.308, 0.692, 0, 0.074
18.5524, 0.314, 0.686, 0, 0.056
18.7771, 0.3, 0.7, 0, 0.038
19.0492, 0.306, 0.694, 0, 0.044
19.2112, 0.298, 0.702, 0, 0.038
19.436, 0.298, 0.702, 0, 0.038
19.6757, 0.298, 0.702, 0, 0.036
19.8686, 0.292, 0.708, 0, 0.02
20.0665, 0.292, 0.708, 0, 0.02
20.2912, 0.292, 0.708, 0, 0.014
20.4424, 0.292, 0.708, 0, 0.014
