at_time(sec), nonNLP_percentage, insect_percentage, poison_percentage, insecticide_percentage
0, 0.495327, 0.504673, 0, 0
0.102612, 0.108, 0.892, 0, 0
0.211167, 0.194, 0.806, 0, 0
0.317906, 0.194, 0.806, 0, 0
0.423235, 0.22, 0.78, 0, 0
0.528982, 0.244, 0.756, 0, 0
0.637527, 0.392, 0.608, 0, 0
0.75396, 0.668, 0.332, 0, 0
0.86787, 0.592, 0.408, 0, 0
0.981879, 0.548, 0.452, 0, 0
1.09587, 0.548, 0.452, 0, 0
1.21037, 0.548, 0.452, 0, 0
1.32922, 0.598, 0.402, 0, 0
1.44391, 0.564, 0.436, 0, 0.078
1.55725, 0.538, 0.462, 0, 0.078
1.67, 0.538, 0.462, 0, 0.078
1.78468, 0.528, 0.472, 0, 0.078
1.89961, 0.52, 0.48, 0, 0.078
2.0144, 0.5, 0.5, 0, 0.078
2.12732, 0.492, 0.508, 0, 0.078
2.24297, 0.492, 0.508, 0, 0.078
2.35517, 0.488, 0.512, 0, 0.078
2.46647, 0.492, 0.508, 0, 0.078
2.58281, 0.492, 0.508, 0, 0.078
2.69663, 0.492, 0.508, 0, 0.078
2.81336, 0.492, 0.508, 0, 0.078
2.92023, 0.492, 0.508, 0, 0.078
3.03954, 0.492, 0.508, 0, 0.078
3.16578, 0.492, 0.508, 0, 0.078
3.28186, 0.478, 0.522, 0, 0.078
3.40045, 0.462, 0.538, 0, 0.078
3.51838, 0.458, 0.542, 0, 0.078
3.63741, 0.44, 0.56, 0, 0.078
3.76449, 0.44, 0.56, 0, 0.078
3.8827, 0.43, 0.57, 0, 0.078
4.00624, 0.43, 0.57, 0, 0.078
4.16099, 0.428, 0.572, 0, 0.076
4.28214, 0.428, 0.572, 0, 0.076
4.41064, 0.428, 0.572, 0, 0.076
4.53527, 0.428, 0.572, 0, 0.076
4.66614, 0.428, 0.572, 0, 0.076
4.79268, 0.428, 0.572, 0, 0.076
4.92103, 0.428, 0.572, 0, 0.076
5.04219, 0.424, 0.576, 0, 0.07
5.1679, 0.414, 0.586, 0, 0.048
5.3081, 0.416, 0.584, 0, 0.054
5.43328, 0.414, 0.586, 0, 0.056
5.56314, 0.414, 0.586, 0, 0.05
5.69782, 0.408, 0.592, 0, 0.04
5.82452, 0.4, 0.6, 0, 0.018
5.95177, 0.398, 0.602, 0, 0.016
6.07666, 0.4, 0.6, 0, 0.012
6.19747, 0.396, 0.604, 0, 0
6.32001, 0.396, 0.604, 0, 0
6.45039, 0.396, 0.604, 0, 0
6.57447, 0.396, 0.604, 0, 0
6.67473, 0.396, 0.604, 0, 0
6.80452, 0.396, 0.604, 0, 0
6.92818, 0.396, 0.604, 0, 0
7.05286, 0.396, 0.604, 0, 0
7.18094, 0.412, 0.588, 0, 0
7.31066, 0.41, 0.59, 0, 0
7.44421, 0.41, 0.59, 0, 0
7.5245, 0.41, 0.59, 0, 0
7.67178, 0.41, 0.59, 0, 0
7.82184, 0.41, 0.59, 0, 0
7.9489, 0.41, 0.59, 0, 0
