TOTAL_STIMULUS_REC: 427
NLP_parse_percentage_in_AF: 1.59946e-37
Logged_at: 17:00:00:000
Atom(uuid), Atom(name), EnteredAt, LastSeenAt, STI, DurationInAF, IsNLPParseOutput, DirectSTI, GainFromSpreading
1274177074795690889, no%4:02:02::, 14:26:50:559, 14:27:09:430, 7.13551, 18.8714, 1,  - , 6.60653
1297336434150684834, present_future, 14:26:38:380, 14:26:38:722, 3.20922, 0.342454, 0,  - , 3.33405
1345038449331781660, limbs.n@c4cf44c8-1976-4665-890d-62e7a872cedf, 14:26:40:912, 14:27:09:430, 12.8721, 28.5178, 0,  - , 42.0646
1367477221623553515, by%4:02:00::, 14:26:44:693, 14:27:05:602, 4.3777, 20.909, 1,  - , 9.83065
1384551694518126213, demonstrative, 14:26:38:380, 14:27:07:632, 4.83317, 29.2518, 0,  - , 1.78847
1502891525357445923, away%4:02:02::, 14:26:44:693, 14:27:05:602, 4.3567, 20.909, 1,  - , 8.8309
1570813373529498099, 9.000000, 14:26:38:380, 14:27:07:247, 4.8098, 28.8673, 0,  - , 2.12141
1599594500917824473, WV@e0974af2-46a4-4787-8949-04e5856b1013, 14:26:38:380, 14:27:02:751, 4.22084, 24.3709, 0,  - , 4.70565
1715669325254664977, extensor%1:08:00::, 14:26:43:337, 14:27:09:430, 17.0033, 26.0937, 1,  - , 20.5135
1725000975837666100, order, 14:26:39:412, 14:26:40:794, -0.993842, 1.38231, 1, 1200, 0.0032447
1771325467262297467, most@dc42732a-8fe1-4d72-9ceb-5d15f7bbff45, 14:26:37:721, 14:27:09:430, 8.90219, 31.7093, 0,  - , 24.376
1838306336703075531, are.v@4ff74484-a630-4014-8de7-fec645899dea, 14:26:44:440, 14:26:59:815, 3.23589, 15.3749, 0,  - , 7.97467
1870216846309171124, do, 14:26:37:512, 14:27:02:751, 4.23224, 25.2387, 1, 300, 169.184
1891265476721604561, Os@40085f3d-767d-46d3-b39f-f7c37d09c115, 14:26:38:494, 14:27:00:826, 3.84091, 22.3323, 0,  - , 4.70543
1920403505096701480, anisoptera@5bc02c4a-a2d8-472e-9fe0-30faa2c756af, 14:26:43:710, 14:27:09:430, 8.69888, 25.7207, 0,  - , 10.3821
1963091165040595300, withal%4:02:01::, 14:26:37:721, 14:27:01:026, 2.78298, 23.3046, 1,  - , 43.3528
1988906451665768167, their, 14:26:38:041, 14:27:09:430, 9.34675, 31.3892, 0, 2100, 2.01432
1994244081237582837, and, 14:26:38:041, 14:27:07:454, 2.99543, 29.4126, 0, 12300, 7.68098
2039579538807236167, 5.000000, 14:26:38:380, 14:26:38:722, 3.57874, 0.342455, 1,  - , 2.78813
2100878958826593496, limbs, 14:26:38:041, 14:27:09:430, 17.93, 31.3892, 0, 900, 1.34765
2118405488796988307, hydraulic, 14:26:38:041, 14:27:09:430, 39.8712, 31.3892, 1, 300, 5.34765
2143328716067287992, adj, 14:26:38:494, 14:27:01:978, 3.91754, 23.4836, 0,  - , 2.4544
2156967644893522867, nearly%4:02:00::, 14:26:37:721, 14:27:09:430, 7.1139, 31.7093, 1,  - , 52.1843
2263783472620955547, 1.000000, 14:26:38:266, 14:27:00:428, 3.50763, 22.162, 1,  - , 5.07518
2264428418476282409, to_the_highest_degree, 14:26:40:209, 14:27:09:430, 6.67453, 29.2216, 1,  - , 7.50201
2281614486744798108, however%4:02:01::, 14:26:37:721, 14:27:09:430, 6.85076, 31.7093, 1,  - , 16.8532
2327303369434132427, move, 14:26:39:069, 14:26:50:736, 2.34072, 11.6663, 1, 600, 1.00581
2330216863870639693, _subj, 14:26:38:380, 14:26:38:722, 3.59336, 0.342455, 1,  - , 2.78829
2383728019609191491, insects, 14:26:39:412, 14:26:51:228, 3.12995, 11.8161, 0, 3300, 1.00384
2390611616569436914, 3.000000, 14:26:38:494, 14:27:09:430, 7.18212, 30.9364, 0,  - , 2.12312
2418339059135463580, instead%4:02:01::, 14:26:43:589, 14:27:09:430, 13.263, 25.8416, 1,  - , 13.5346
2469515225964199258, cannot, 14:26:37:512, 14:27:09:430, 110.641, 31.9181, 0, 300, 6.97501
2488835469186571798, E@1b6cdf0c-ed2a-47da-92b7-730d4ff24a73, 14:26:38:380, 14:27:01:978, 4.02742, 23.5975, 0,  - , 4.70653
2493461862721859238, negative, 14:26:38:380, 14:26:38:722, 3.14477, 0.342456, 1,  - , 1.78813
2531542951854501732, however, 14:26:37:512, 14:27:09:430, 65.8323, 31.9181, 1, 600, 49.691
2561824768192388074, hydraulic.a@2f40a65c-28b3-4cc8-b28e-b85e516c6627, 14:26:42:680, 14:27:09:430, 14.4862, 26.7503, 0,  - , 3.58471
2583146800786835787, bigger.a-c@b0bf5ea1-407e-40b9-bec1-5bbbc3e7eaa6, 14:26:51:468, 14:26:58:921, 0.898695, 7.45276, 0,  - , 5.09834
2635402030244951882, distantly, 14:26:39:069, 14:26:51:228, 1.12981, 12.1585, 1, 600, 1.17248
2677085646360142295, ,@6eae2aec-7fc5-48e7-9be8-7f213c383649, 14:26:43:337, 14:27:06:295, 3.35439, 22.9587, 0,  - , 4.50138
2757546608838738288, ,@ecf4c077-97a6-4241-81f1-54ec7b7922ef, 14:26:55:454, 14:27:09:430, 8.10015, 13.9765, 0,  - , 5.38671
2860607146532138253, world, 14:26:38:266, 14:26:52:045, 0.688496, 13.7792, 1, 1500, 86.5064
2884103069529025768, nearly, 14:26:38:150, 14:26:41:030, 0.475085, 2.88086, 1, 300, 39.5031
2933692784132281457, .@0191d830-8afb-4bda-8b73-ec9f16f4f572, 14:26:43:210, 14:27:09:430, 10.1118, 26.2204, 0,  - , 3.83471
3007531489510329056, arthropods, 14:26:38:041, 14:27:09:430, 14.1509, 31.3892, 0, 1200, 1.34765
3019593057155481529, rapidly, 14:26:39:069, 14:26:50:377, 2.66539, 11.3081, 1, 600, 9.00586
3037490115354289999, hydraulic%3:01:01::, 14:26:42:680, 14:27:09:430, 21.5255, 26.7503, 1,  - , 20.7923
3056013185329419940, however%4:02:04::, 14:26:37:721, 14:27:09:430, 6.86616, 31.7093, 1,  - , 15.8532
3088733034393613042, instead%4:02:00::, 14:26:43:589, 14:27:09:430, 12.9433, 25.8416, 1,  - , 15.0346
3111872955840072924, muscles, 14:26:38:041, 14:27:09:430, 20.254, 31.3892, 0, 300, 1.01432
3134026894192788257, .@9dc20606-ef43-4d84-ae9c-a320c1288dd2, 14:26:43:210, 14:27:09:430, 10.3723, 26.2204, 0,  - , 3.91804
3198522095430569016, by, 14:26:38:041, 14:27:09:430, 6.45289, 31.3892, 1, 2100, 12.681
3232521488727240411, the, 14:26:38:266, 14:27:09:430, 8.254, 31.1643, 0, 23100, 17.0078
3291950834808927078, related, 14:26:39:069, 14:26:51:468, 2.4942, 12.3988, 1, 2400, 3.17258
3343555454905260431, 2.000000, 14:26:38:380, 14:26:38:722, 3.91983, 0.342456, 0,  - , 2.12146
3360432383054880939, Xd@021ea3ff-cb0d-417e-9bab-f8c37e19c6fc, 14:26:38:494, 14:27:03:278, 4.24944, 24.7837, 0,  - , 4.70544
3360820728462565965, Wd, 14:26:38:380, 14:27:00:826, 3.65746, 22.4462, 1,  - , 5.78924
3363764031351783784, arthropods@256c523d-3041-4bb2-ac9c-240318c4b1a7, 14:26:41:673, 14:27:09:430, 10.2601, 27.7572, 0,  - , 33.2237
3448571266500972573, 8.000000, 14:26:38:380, 14:26:38:722, 3.13419, 0.342457, 0,  - , 3.12124
3495584772683644408, near, 14:26:39:979, 14:26:41:030, 0.373898, 1.0519, 1,  - , 46.4747
3495849701087578051, to, 14:26:39:412, 14:26:51:041, 2.76598, 11.6295, 1, 5100, 0.00386566
3515783679539011126, punctuation, 14:26:38:380, 14:27:09:430, 13.9145, 31.0503, 0,  - , 6.1263
3559298718659476496, have, 14:26:38:041, 14:27:01:442, 3.90466, 23.4006, 1, 5100, 219.014
3560807893772195447, most%4:02:02::, 14:26:37:721, 14:27:09:430, 7.13616, 31.7093, 1,  - , 45.1843
3568058832675211599, .@24d6a291-db82-4f3e-bcf1-c6e71f76d764, 14:26:43:210, 14:27:09:430, 9.99771, 26.2204, 0,  - , 3.58471
3597614663507423337, past%4:02:00::, 14:26:44:693, 14:27:05:602, 4.38623, 20.909, 1,  - , 9.3309
3708867196929935437, ,@21da6645-b42e-40db-9f21-92be1432c197, 14:26:55:273, 14:27:09:430, 8.10027, 14.1576, 0,  - , 5.38671
3720635536872612918, only, 14:26:39:069, 14:26:51:228, 1.26987, 12.1585, 1, 600, 0.00576824
3797338173850251439, virtually, 14:26:38:150, 14:26:51:468, 0.501981, 13.3185, 1,  - , 35.5033
3829527225902311555, $wh-word-inst, 14:26:38:266, 14:26:38:841, 3.46825, 0.575234, 1,  - , 1.48002
3831444340959861687, even_so, 14:26:40:095, 14:26:40:678, 0.543843, 0.583004, 1,  - , 27.8123
3922655552658054521, centipedes, 14:26:39:069, 14:27:09:430, 8.20362, 30.361, 0, 600, 0.674077
3962209070593035917, unlike%3:00:00::, 14:26:43:710, 14:27:09:430, 12.0603, 25.7207, 1,  - , 13.633
4001991648222627210, sentence@e1a0b108-40d4-4a30-8115-c8a2ca5fa6e5_parse_0_interpretation_$X, 14:26:38:380, 14:26:38:722, 2.97415, 0.342457, 0,  - , 1.78813
4039520522170221527, temperate, 14:26:38:494, 14:26:58:561, 1.86252, 20.0673, 1, 900, 3.50697
4044693171999964596, distinguished, 14:26:39:069, 14:27:06:076, 4.53888, 27.0065, 0, 600, 4.09024
4119044870565593155, well-nigh, 14:26:39:979, 14:26:41:277, 0.144093, 1.298, 1,  - , 34.9745
4133929226968867787, species.p@a198461f-e558-4a85-befa-6ccb6214a7e6, 14:26:50:883, 14:26:59:815, 1.15646, 8.93254, 0,  - , 4.24054
4154722689345122674, Xp, 14:26:38:380, 14:27:01:026, 3.65538, 22.6457, 0,  - , 4.12381
4225541598748154807, bigger, 14:26:38:494, 14:27:00:218, 1.09247, 21.7245, 0, 600, 3.92336
4243549235880691304, inwards%4:02:01::, 14:26:44:693, 14:27:00:826, 3.86234, 16.1332, 1,  - , 3.00129
4310174421878564629, WordInstanceNode, 14:26:38:266, 14:27:09:430, 5.63583, 31.1643, 1,  - , 2.95772
4508473949908705846, class, 14:26:39:069, 14:26:51:041, 2.68134, 11.9719, 1, 600, 0.255796
4596123127896076356, different%3:00:02::, 14:26:43:710, 14:27:09:430, 12.0603, 25.7207, 1,  - , 14.133
4627791017318684854, of, 14:26:38:266, 14:27:06:295, 4.63347, 28.0293, 0, 6300, 1.59079
4690249769988417129, dissimilar%3:00:02::, 14:26:43:710, 14:27:09:430, 12.0603, 25.7207, 1,  - , 4.00138
4757337355480684205, nonetheless%4:02:00::, 14:26:37:721, 14:27:01:026, 2.84228, 23.3046, 1,  - , 40.8527
4806590843574086638, rather%4:02:02::, 14:26:43:589, 14:27:09:430, 13.263, 25.8416, 1,  - , 14.0346
4815383279981602339, than, 14:26:38:494, 14:26:59:595, 3.42475, 21.1015, 0, 600, 2.00716
4821095820315332268, today, 14:26:38:266, 14:27:03:062, 4.24817, 24.7958, 1, 600, 9.84054
4824127416193708616, which, 14:26:39:069, 14:26:51:228, 1.62131, 12.1585, 0, 1800, 2.33916
4865344811316337762, virtually%4:02:02::, 14:26:37:721, 14:27:09:430, 5.48233, 31.7093, 1,  - , 54.1843
4870067345004111385, .@5e1367ef-a155-42ec-82b4-e87f99b4e8f7, 14:26:38:041, 14:27:09:430, 42.1761, 31.3892, 0,  - , 11.3794
4958762861586920345, Os, 14:26:38:494, 14:27:01:746, 2.87509, 23.2522, 0,  - , 3.45458
5008160295960345355, extend.v@3ebb6f66-1583-4926-ab6e-3c3f262490db, 14:26:43:337, 14:27:09:430, 16.0451, 26.0937, 0,  - , 8.65629
5031263668235710553, about%4:02:05::, 14:26:37:721, 14:27:09:430, 5.48233, 31.7093, 1,  - , 46.6843
5094950592633475178, cockroaches.n@dadbee31-10a4-4d9f-bccc-4e814a031199, 14:26:43:589, 14:27:09:430, 5.45153, 25.8416, 0,  - , 2.38712
5097723126778045239, instead.e@582054db-75c8-49a3-aa0e-c952e9a5ddb3, 14:26:43:464, 14:27:09:430, 14.083, 25.9665, 0,  - , 12.1069
5100738614700649292, almost%4:02:00::, 14:26:37:721, 14:27:09:430, 7.12696, 31.7093, 1,  - , 59.1843
5104909302925208547, well-nigh%4:02:00::, 14:26:37:721, 14:27:09:430, 5.48206, 31.7093, 1,  - , 57.6843
5116760682216101924, pressure, 14:26:38:041, 14:26:52:045, 0.676058, 14.0041, 1, 300, 74.8459
5136493696915570428, extensor, 14:26:38:041, 14:27:09:430, 36.1978, 31.3892, 1, 300, 6.09765
5170305809315152609, much, 14:26:38:494, 14:26:51:228, 1.16236, 12.7339, 1, 600, 42.006
5209374188192178858, Xc, 14:26:38:494, 14:27:01:243, 3.28865, 22.7495, 0,  - , 4.45483
5215434944242952233, withal, 14:26:40:095, 14:26:51:468, 2.72172, 11.3733, 1,  - , 33.3105
5261061828593617244, verb, 14:26:38:380, 14:27:09:430, 5.08164, 31.0503, 1,  - , 5.12332
5309428107461839406, 11.000000, 14:26:38:494, 14:26:38:722, 2.60746, 0.228518, 0,  - , 3.4544
5368562493834387375, hydraulic%3:01:00::, 14:26:42:680, 14:27:09:430, 21.5195, 26.7503, 1,  - , 20.7923
5371895545951772000, E, 14:26:38:380, 14:27:01:746, 3.10213, 23.3661, 0,  - , 3.45622
5437117370447710558, (, 14:26:39:069, 14:26:51:041, 1.95308, 11.9719, 0, 900, 0.00590327
5440245982896140075, LEFT-WALL@sentence@de27065d-7e37-4ae3-983d-7b4d3da99a29_parse_0, 14:26:42:680, 14:27:09:430, 8.43701, 26.7503, 0,  - , 14.7723
5451193632837150414, species.p@12ed59ae-9cb9-4d55-85a2-09cdc82b8fc1, 14:26:43:710, 14:27:09:430, 5.28517, 25.7207, 0,  - , 6.16762
5534026884831961884, 6.000000, 14:26:38:494, 14:27:01:746, 3.43521, 23.2522, 0,  - , 1.7914
5535753375512344770, notwithstanding, 14:26:40:095, 14:26:40:678, 0.512777, 0.583001, 1,  - , 26.8122
5639356509842097046, Xd, 14:26:38:380, 14:27:01:243, 3.29887, 22.8634, 0,  - , 3.45614
5657816136855234139, present, 14:26:51:360, 14:26:59:815, 2.82866, 8.45478, 0,  - , 4.66744
5669538822784378741, group, 14:26:39:412, 14:26:41:277, 0.198025, 1.8649, 1, 2100, 0.253224
5670251610483454887, almost, 14:26:38:150, 14:26:51:468, 0.590505, 13.3185, 1, 300, 29.0031
5672116426128309765, are, 14:26:38:266, 14:27:05:839, 4.00444, 27.573, 1, 15900, 15.3469
5674374606907317593, _modal, 14:26:38:380, 14:26:38:722, 3.08505, 0.342461, 0,  - , 1.78774
5749114103669259198, be, 14:26:39:069, 14:26:49:625, 3.19253, 10.5562, 1, 900, 0.923551
5866536639269215574, belonging, 14:26:39:412, 14:26:41:030, 0.503343, 1.6188, 1, 600, 0.00333667
5876509994937931249, nevertheless, 14:26:40:209, 14:26:40:678, 0.512924, 0.469144, 1,  - , 29.812
5886864223405892622, yet%4:02:06::, 14:26:37:721, 14:26:59:815, 3.70481, 22.0942, 1,  - , 42.8529
